,ｎ,目にした（％）,目にしなかった（％）,わからない、忘れた（％）,,
全体,1823,67.6,22.3,10.1,,
選挙への関心度別関心があった(計),1424,77.4,16.5,6.1,,
選挙への関心度別関心がなかった(計),175,23.4,54.9,21.7,,
選挙への関心度別どちらともいえない,209,42.1,34.9,23.0,,
新聞の定期購読別定期購読している,1240,78.5,13.5,8.0,,
新聞の定期購読別定期購読していない,583,44.3,41.2,14.6,,
