,ｎ,よく読んだ（％）,一通りざっと読んだ（％）,一部分だけ読んだ（％）,読まなかった（％）,無回答（％）,読んだ（計）（％）,,,,
今回選挙,1208,22.4,56.8,13.9,6.9,0.0,93.1,,,,
平成25年参議院議員選挙,542,16.4,65.3,12.9,4.6,0.7,94.6,,,,
