質問,n,よく読んだ(%),一通りざっと読んだ(%),一部分だけ読んだ(%),読まなかった(%),無回答(%),読んだ(計)(%)
今回選挙,(1086),15.4,60.6,14.8,8.6,0.6,90.8
平成24年都知事選挙,(1068),17.5,59.6,17.8,5.1,0,94.9
平成23年都知事選挙,(1146),16.6,54.4,18.8,9.9,0.3,89.8
平成19年都知事選挙,(836),19.3,53.6,18.5,8.0,0.6,91.4
