,割合（％）,備考
今回選挙テレビ・ラジオの選挙報道,71.3,
平成24年衆議院議員選挙テレビ・ラジオの選挙報道,82.1,
今回選挙候補者等のポスター,43.4,
平成24年衆議院議員選挙候補者等のポスター,78.9,
今回選挙新聞・雑誌などの選挙報道,42.8,
平成24年衆議院議員選挙新聞・雑誌などの選挙報道,55.4,
今回選挙選挙公報,38.5,
平成24年衆議院議員選挙選挙公報,62.7,
今回選挙投票所入場（整理）券,26.3,
平成24年衆議院議員選挙投票所入場（整理）券,20.4,
今回選挙候補者等の街頭演説,22.1,
平成24年衆議院議員選挙候補者等の街頭演説,24.5,
今回選挙候補者等の新聞広告,15.7,
平成24年衆議院議員選挙候補者等の新聞広告,16.8,
今回選挙候補者のはがき・ビラ,14.4,
平成24年衆議院議員選挙候補者のはがき・ビラ,-,※1
今回選挙家族、友人、知人からの勧め,8.8,
平成24年衆議院議員選挙家族、友人、知人からの勧め,13.7,
今回選挙政党、候補者の後援会などからの推薦,4.9,
平成24年衆議院議員選挙政党、候補者の後援会などからの推薦,7.1,
今回選挙候補者等のホームページやＳＮＳ（ツイッターやフェイスブック等）、動画,4.6,
平成24年衆議院議員選挙候補者等のホームページやＳＮＳ（ツイッターやフェイスブック等）、動画,-,※2
今回選挙候補者の個人演説会,3.9,
平成24年衆議院議員選挙候補者の個人演説会,7.5,
今回選挙その他,0.8,※3
平成24年衆議院議員選挙その他,-,
今回選挙どれにも接していない,6.4,
平成24年衆議院議員選挙どれにも接していない,3.8,
今回選挙わからない、忘れた,1.4,
平成24年衆議院議員選挙わからない、忘れた,0.3,
今回選挙無回答,0.5,
平成24年衆議院議員選挙無回答,-,
,,今回選挙（ｎ＝1827）
,,平成24年衆議院議員選挙（ｎ＝1822）
,,※1平成24年は「候補者等のビラ」15.5％、「候補者のはがき」12.7％
,,※2平成24年は「候補者のホームページ・ブログ」3.6％、「インターネットの情報（その他）」4.8％
,,※3今回調査で追加
