区分,収入額,収入額構成比,内訳党費又は会費,内訳寄附,内訳事業収入,内訳借入金,内訳本部支部交付金,内訳その他の収入
政党支部(百万円),25,,△19,196,△155,△3,303,△296
政党支部(%),100.3,-,97.1,105.8,75.5,94.5,107.3,41.6
その他の政治団体(百万円),248,,△6,220,79,△12,7,△40
その他の政治団体(%),104.8,-,99.4,109.6,106.1,83.2,102.0,66.5
計(百万円),273,,△25,417,△77,△15,310,△336
計(%),101.9,-,98.5,107.4,96.0,88.2,106.9,46.3
