区市町村名,計,男,女
総数,25146,12866,12280
区部,15849,8058,7791
市部,9094,4700,4394
町村部,203,108,95
郡部,134,68,66
島部,69,40,29
区部,15849,8058,7791
千代田区,89,49,40
中央区,163,61,102
港区,520,281,239
新宿区,382,186,196
文京区,305,146,159
台東区,232,118,114
墨田区,449,248,201
江東区,848,415,433
品川区,582,289,293
目黒区,405,217,188
大田区,1283,657,626
世田谷区,1639,829,810
渋谷区,260,141,119
中野区,428,217,211
杉並区,822,422,400
豊島区,341,171,170
北区,499,239,260
荒川区,335,180,155
板橋区,979,507,472
練馬区,1516,752,764
足立区,1319,685,634
葛飾区,880,465,415
江戸川区,1573,783,790
市部,9094,4700,4394
八王子市,1262,628,634
立川市,361,167,194
武蔵野市,270,152,118
三鷹市,387,193,194
青梅市,294,155,139
府中市,561,309,252
昭島市,238,131,107
調布市,420,226,194
町田市,1065,557,508
小金井市,257,133,124
小平市,405,205,200
日野市,421,217,204
東村山市,360,190,170
国分寺市,237,119,118
国立市,167,85,82
福生市,119,62,57
狛江市,166,83,83
東大和市,204,118,86
清瀬市,197,94,103
東久留米市,262,128,134
武蔵村山市,149,80,69
多摩市,269,139,130
稲城市,246,124,122
羽村市,130,62,68
あきる野市,192,104,88
西東京市,455,239,216
町村部,203,108,95
郡部,134,68,66
瑞穂町,92,44,48
日の出町,29,16,13
檜原町,2,0,2
奥多摩町,11,8,3
島部,69,40,29
(大島支庁),(39),(25),(14)
大島町,29,20,9
利島村,0,0,0
新島村,5,3,2
神津島村,5,2,3
(三宅支庁),(6),(5),(1)
三宅村,6,5,1
御蔵島村,0,0,0
(八丈支庁),(18),(6),(12)
八丈町,18,6,12
青ヶ島村,0,0,0
(小笠原支庁),(6),(4),(2)
小笠原村,6,4,2
