質問,n=963(%)
その他(雪の影響),41.6
仕事が忙しく、時間がなかったから,31.7
病気(看病を含む)又は体調が悪かったから,16.4
政治や選挙には関心がないから,12.6
適当な候補者がいなかったから,9.8
投票所へ行くのが面倒だったから,8.7
自分一人が投票しなくても選挙の結果に影響がないから,8.0
選挙によって政治や暮らしが良くなるわけではないから,7.5
投票日を忘れていたから、知らなかったから,3.5
旅行に出かけていたから,3.3
候補者の人柄や政策がわからなかったから,3.1
投票所が遠かった(不便だった、わからなかった)から,1.6
わからない、忘れた,0.8
その他(雪の影響以外),4.5
無回答,0.6
