,全体ｎ,よく読んだ（％）,一通りざっと読んだ（％）,一部分だけ読んだ（％）,読まなかった（％）,読んだ（計）（％）,,,,
参議院議員選挙,1208,22.4,56.8,13.9,6.9,93.1,,,,
東京都知事選挙,1232,25.6,56.0,12.7,5.7,94.3,,,,
