,今回選挙（n=1424）(%),平成26年東京都知事選挙（n=1170）(%),備考,,,,,,,
もともと東京都政や東京都に関する選挙に関心があったから,52.4,37.9,,,,,,,,
もともと政治や選挙そのものに関心があったから,41.0,40.4,,,,,,,,
候補者自身に関心があったから,36.7,16.4,,,,,,,,
候補者が訴える政策に関心があったから,29.4,27.6,,,,,,,,
平成28年6月に選挙権が18歳に引き下げられたから※,8.9,-,,,,,,,,
その他,2.5,5.1,,,,,,,,
無回答,-,0.3,,,,,,,,
,,,※今回調査で追加,,,,,,,
