,割合（％）,備考
ニュースサイトや選挙情報サイト,55.2,
候補者・政党等のホームページ・ブログ,40.6,
候補者・政党以外のホームページ・ブログ,20.3,
まとめサイトや電子掲示板などその他のサイト,16.0,
候補者等のツイッター・フェイスブック等のＳＮＳ［LINEはＳＮＳの扱い］,15.1,
候補者・政党以外のツイッター・フェイスブック等のＳＮＳ［LINEはＳＮＳの扱い］,13.7,
YouTubeなど動画共有サイトでの選挙関連の動画,9.4,
候補者等からのメール,1.9,
その他,2.8,
わからない、忘れた,2.4,
無回答,0.9,
,,（ｎ＝212）
