質問,n,定期購読している(%),定期購読していない(%),無回答(%)
全体,(2011),60.0,39.6,0.4
性別男性,(950),60.4,39.1,0.5
性別女性,(1061),59.6,40.1,0.4
年齢別20歳代,(295),31.5,68.1,0.3
年齢別30歳代,(355),40.6,59.4,0
年齢別40歳代,(398),57.8,41.5,0.8
年齢別50歳代,(293),74.1,25.9,0
年齢別60歳代,(327),78.9,20.5,0.6
年齢別70歳代,(232),78.4,20.7,0.9
年齢別80歳以上,(90),75.6,23.3,1.1
