質問,n,目にした(%),目にしなかった(%),わからない、忘れた(%),無回答(%)
全体,(2011),54.0,35.0,10.9,0.1
地域別区部,(1392),49.1,40.6,10.1,0.2
地域別市郡部,(619),65.1,22.3,12.6,0
