,(n=1435)（％）
テレビ・ラジオの選挙報道,83.6
新聞・雑誌などの選挙報道,51.1
選挙公報,35.6
候補者等のポスター,27.5
テレビ・ラジオの政見放送・経歴放送,24.2
候補者等の新聞広告,15.4
候補者等の街頭演説,9.3
候補者のはがき・候補者等のビラ,6.0
各政党の政策等を記載した選挙運動用パンフレット（マニフェスト）,5.9
候補者等の選挙運動用自動車からの連呼,5.7
家族、友人、知人からの勧め,4.1
候補者のホームページ、ツイッター等のネット上の情報,4.0
候補者以外のホームページ、ツイッター等のネット上の情報,3.6
政党、候補者の後援会などからの推薦,2.3
各種団体からの推薦,1.3
候補者の個人演説会,1.0
その他,0.2
どれにも接していない,0.4
役立ったものはない,3.4
わからない、忘れた,1.0
