,ｎ,目にした（％）,目にしなかった（％）,わからない、忘れた（％）,無回答（％）
全体,1827,54.4,40.4,4.9,0.3
選挙への関心度別関心があった（計）,1084,66.3,29.5,3.8,0.4
選挙への関心度別関心がなかった（計）,554,35.2,59.0,5.6,0.2
選挙への関心度別どちらともいえない,179,43.0,49.2,7.3,0.6
新聞の定期購読別定期購読している,1142,61.2,34.5,3.9,0.4
新聞の定期購読別定期購読していない,681,42.7,50.5,6.5,0.3
