選挙名,全体ｎ,必ず投票するべき（％）,可能な限り投票するべき（％）,投票するのもしないの自由（％）,その他（％）,わからない（％）,《投票するべき(計)》(%),,
参議院議員選挙,1823,32.7,46.0,18.9,0.1,2.4,78.7,,
東京都知事選挙,1823,33.7,45.4,18.4,0.1,2.4,79.2,,
