質問,n,すべてのポスターを一枚一枚よく見た(%),すべてのポスターをざっと見た(%),関心のある候補者のポスターしか見なかった(%),ほとんど見なかった(%),わからない、忘れた(%),無回答(%),見た(計)(%)
全体,(2011),5.1,41.2,12.7,35.2,5.4,0.4,59.0
選挙への関心度別関心があった(計),(1170),7.7,53.2,16.3,21.5,0.9,0.3,77.3
選挙への関心度別関心がなかった(計),(533),1.3,22.1,6.4,58.7,11.1,0.4,29.8
選挙への関心度別どちらともいえない,(298),1.7,29.5,10.1,46.3,11.7,0.7,41.3
