,ｎ,各戸配布（新聞折込以外）（％）,新聞折込で配布（％）,公共施設等に置いてあった（％）,,,,
全体,1208,51.5,50.6,11.4,,,,
職業別自営業,98,65.3,43.9,3.1,,,,
職業別勤め人,507,47.3,53.5,14.2,,,,
職業別学生,17,41.2,52.9,11.8,,,,
職業別専業主婦(夫),288,51.7,51.7,12.8,,,,
職業別その他,18,61.1,33.3,5.6,,,,
職業別無職(年金受給者含む),280,53.9,47.5,8.2,,,,
地域別区部,881,52.2,50.2,13.6,,,,
地域別市郡部,327,49.5,51.7,5.5,,,,
