,ｎ,ネット上の情報が一番参考になった（％）,参考にしたが、その他の情報の方が役にたった（％）,ほとんど参考にしなかった（％）,わからない（％）,参考にした（計）（％）
全体,381,24.9,31.0,41.2,2.9,55.9
職業別自営業,42,26.2,31.0,35.7,7.1,57.1
職業別勤め人,240,28.3,28.8,40.4,2.5,57.1
職業別学生,12,25.0,41.7,33.3,0.0,66.7
職業別専業主婦(夫),54,13.0,38.9,44.4,3.7,51.9
職業別その他,6,33.3,50.0,16.7,0.0,83.3
職業別無職(年金受給者含む),27,14.8,25.9,59.3,0.0,40.7
