,ｎ,庁舎・公共施設等での選挙広報用ポスター（女優の広瀬すずさん起用）（％）,選挙広報用の新聞広告（％）,電車内・駅構内のモニター、街中の大型モニターでの動画広告放映（％）,区市町村の広報掲示板（％）,区市町村の広報車（％）,国、都、区市町村の広報誌（％）,コンビニレジ画面の広告（％）,わからない、忘れた（％）,,
全体,1823,34.7,22.0,21.9,21.8,20.6,20.6,13.2,19.4,,
職業別自営業,133,45.1,27.1,17.3,22.6,12.8,21.8,7.5,16.5,,
職業別勤め人,821,36.8,20.6,31.3,23.0,23.3,18.5,15.8,16.6,,
職業別学生,47,34.0,8.5,25.5,6.4,8.5,6.4,12.8,23.4,,
職業別専業主婦(夫),395,38.5,24.6,17.2,24.8,23.8,27.3,16.5,14.7,,
職業別その他,25,20.0,16.0,20.0,8.0,4.0,12.0,4.0,20.0,,
職業別無職(年金受給者含む),402,24.1,22.6,8.7,18.7,17.2,19.9,7.2,30.3,,
地域別区部,1381,39.2,22.9,25.6,25.6,23.4,22.4,15.6,16.2,,
地域別市郡部,442,20.4,19.2,10.6,9.7,12.0,14.9,5.7,29.4,,
