,ｎ,目にした（％）,目にしなかった（％）,わからない、忘れた（％）,無回答（％）,
今回選挙,1823,67.6,22.3,10.1,0.0,
平成26年東京都知事選挙,2011,54.0,35.0,10.9,0.1,
