質問,今回選挙(n=963)(%),平成24年都知事選挙(n=405)(%),備考
その他(雪の影響)※1,41.6,0,
仕事が忙しく、時間がなかったから,31.7,33.6,
病気(看病を含む)又は体調が悪かったから,16.4,13.6,
政治や選挙には関心がないから,12.6,17.0,
適当な候補者がいなかったから,9.8,13.8,
投票所へ行くのが面倒だったから,8.7,4.7,
自分一人が投票しなくても選挙の結果に影響がないから,8.0,7.7,
選挙によって政治や暮らしが良くなるわけではないから,7.5,10.9,
投票日を忘れていたから、知らなかったから※1,3.5,0,
旅行に出かけていたから※2,3.3,5.2,
候補者の人柄や政策がわからなかったから,3.1,10.6,
投票所が遠かった(不便だった、わからなかった)から,1.6,1.0,
わからない、忘れた,0.8,0.5,
その他(雪の影響以外),4.5,9.9,
無回答,0.6,2.2,
,,,注：※1今回調査で追加
,,,※2平成24年は「旅行やレジャーに出かけていたから」
