年・月,登録者数,増（△）減
27.6,25400,190
27.9,24961,△439
27.12,24683,△278
28.3,24744,61
28.6,25598,854
28.9,25762,164
28.12,25707,△55
29.3,25779,72
29.6,25578,△201
