質問,n=999(%)
都政をよくするためには、投票することが大切だと思ったから,56.7
投票することは、義務であるから,40.9
投票することは、権利であるから,34.0
当選させたい候補者がいたから,29.3
今の政治がよくないので、変えたいと思ったから,18.7
自分の支持する政党の推す候補者を当選させたかったから,8.8
テレビ・ラジオ・新聞などメディアの報道を見て興味を持ったから,7.3
投票率が気になったから,4.7
当選させたくない候補者がいたから,4.6
友人や家族が行くから、なんとなく,4.2
自分の関係する団体、組織、知り合いの人に投票を頼まれたから,3.1
インターネット上の情報を見て興味を持ったから,1.3
その他,1.4
わからない,0.3
無回答,0.3
