,今回選挙(n=1823)（％）,平成25年参議院議員選挙(n=1089)（％）
テレビ,88.5,85.1
新聞,66.4,64.3
携帯電話・スマートフォン・タブレット等でのインターネット,49.4,25.6
パソコンでのインターネット,39.9,37.2
ラジオ,16.0,12.1
雑誌,11.0,8.5
その他,0.3,0.3
特にない,0.6,2.6
無回答,-,0.5
