質問,n,目にした(%),目にしなかった(%),わからない、忘れた(%),無回答(%)
全体,(2011),54.0,35.0,10.9,0.1
選挙への関心度別関心があった(計),(1170),72.3,23.5,4.1,0.1
選挙への関心度別関心がなかった(計),(533),25.1,57.2,17.3,0.4
選挙への関心度別どちらともいえない,(298),35.6,39.9,24.5,0
新聞の定期購読別定期購読している,(1206),68.3,24.8,6.8,0.1
新聞の定期購読別定期購読していない,(796),32.4,50.4,17.0,0.3
