,割合（％）,備考
ニュースサイトや選挙情報サイト,20.1,
候補者・政党等のホームページ・ブログ,11.7,
まとめサイトや電子掲示板などその他のサイト,6.0,
候補者等のツイッター・フェイスブック等のＳＮＳ［LINEはＳＮＳの扱い］,5.7,
候補者・政党以外のホームページ・ブログ,4.7,
YouTubeなど動画共有サイトでの選挙関連の動画,3.7,
候補者・政党以外のツイッター・フェイスブック等のＳＮＳ［LINEはＳＮＳの扱い］,3.0,
候補者等からのメール,0.8,
その他,0.2,
触れていない、見ていない,64.9,
わからない、忘れた,3.1,
無回答,2.0,
,,（ｎ＝1246）
