,ｎ,よく読んだ（％）,一通りざっと読んだ（％）,一部分だけ読んだ（％）,読まなかった（％）,無回答（％）,読んだ（計）（％）
全体,993,15.0,58.6,17.6,8.0,0.8,91.2
選挙への関心度別関心があった（計）,719,18.2,60.6,15.9,4.7,0.6,94.7
選挙への関心度別関心がなかった（計）,195,6.7,48.2,24.1,19.5,1.5,79.0
選挙への関心度別どちらともいえない,77,6.5,64.9,18.2,9.1,1.3,89.6
