,ｎ,テレビ（％）,新聞（％）,パソコンでのインターネット（％）,携帯電話・スマートフォン・タブレット等でのインターネット（％）,ラジオ（％）,雑誌（％）,特にない（％）
全体,1246,84.2,58.2,39.2,36.4,17.7,17.3,1.3
職業別自営業,152,84.9,69.7,42.8,30.9,27.0,21.1,1.3
職業別勤め人,934,81.0,50.1,52.0,51.3,16.2,19.5,1.0
職業別学生,35,77.1,37.1,65.7,74.3,8.6,20.0,-
職業別専業主婦(夫),309,91.3,63.8,26.9,26.9,14.9,13.9,2.3
職業別その他,18,83.3,55.6,27.8,44.4,16.7,11.1,-
職業別無職(年金受給者含む),370,86.8,71.1,13.2,4.9,20.5,12.7,1.6
