,ｎ,テレビ（％）,新聞（％）,パソコンでのインターネット（％）,携帯電話・スマートフォン・タブレット等でのインターネット（％）,ラジオ（％）,雑誌（％）,特にない（％）
全体,1827,84.2,58.2,39.2,36.4,17.7,17.3,1.3
性別男性,882,81.7,59.2,46.0,34.7,20.3,19.4,1.1
性別女性,945,86.5,57.2,32.8,38.0,15.2,15.3,1.5
年齢別20歳代,174,73.6,32.2,54.0,78.2,4.0,17.8,1.1
年齢別30歳代,261,75.9,31.0,54.4,67.8,13.4,17.6,2.3
年齢別40歳代,365,82.5,50.7,62.2,54.2,16.7,18.1,0.5
年齢別50歳代,294,86.7,66.0,46.3,34.0,21.8,23.1,0.7
年齢別60歳代,313,91.1,75.1,28.1,13.1,24.3,20.8,1.6
年齢別70歳代,296,87.8,76.0,8.8,4.4,19.6,10.1,2.0
年齢別80歳以上,124,89.5,70.2,2.4,-,17.7,8.1,0.8
