,ｎ,ニュースサイトや選挙情報サイト（％）,候補者・政党等のホームページ・ブログ（％）,まとめサイトや電子掲示板などその他のサイト（％）,触れていない、見ていない（％）
全体,1491,22.5,7.2,6.2,68.1
性別男性,696,28.3,10.5,7.5,60.8
性別女性,795,17.4,4.3,5.2,74.6
年齢別18歳,6,50.0,-,16.7,50.0
年齢別19歳,11,9.1,-,18.2,72.7
年齢別20歳代,95,35.8,7.4,18.9,45.3
年齢別30歳代,210,35.7,10.5,13.3,53.3
年齢別40歳代,337,34.1,11.0,7.1,59.9
年齢別50歳代,266,22.2,7.9,4.9,68.8
年齢別60歳代,305,11.5,4.6,2.0,79.3
年齢別70歳代,196,5.1,3.1,0.5,84.2
年齢別80歳以上,65,4.6,-,-,89.2
