,ｎ,よく読んだ（％）,一通りざっと読んだ（％）,一部分だけ読んだ（％）,読まなかった（％）,無回答（％）,読んだ（計）（％）,,,,
今回選挙,1232,25.6,56.0,12.7,5.7,0.0,94.3,,,,
平成26年東京都知事選挙,1086,15.4,60.0,14.8,8.6,0.6,90.8,,,,
