質問,n=2011(%)
デザインが気に入った,16.4
あまり選挙らしさを感じないので良い(気に入った),15.5
目立つ配色やデザインがよい,14.1
あまり選挙らしさを感じないのは良くない(不満),13.3
デザインが気に入らない,8.1
著名人をキャラクターに立てていないのがさびしい,5.2
一般のモデルを使っているので親近感が湧く,4.2
もっと質素でおとなしめなデザインの方がよい,3.6
その他,3.9
わからない,30.2
無回答,1.3
