,ｎ,日常的に使っている（％）,時々使っている（％）,ほとんど利用しない（％）,無回答（％）
今回選挙,984,86.7,12.2,0.9,0.2
平成24年衆議院議員選挙,752,81.6,17.2,0.9,0.3
