質問,n,テレビ・ラジオの選挙報道(%),新聞・雑誌などの選挙報道(%),選挙公報(%),候補者等のポスター(%),候補者等の街頭演説(%),投票所入場(整理)券(%),候補者の新聞広告(%),区市町村の広報車(%)
全体,(2011),82.6,53.4,38.5,37.6,13.6,11.5,9.0,7.1
職業別自営業,(174),75.9,48.9,33.3,41.4,17.8,8.6,12.6,6.9
職業別勤め人,(981),83.1,48.1,35.1,36.8,13.9,12.6,8.3,6.7
職業別学生,(53),71.7,26.4,9.4,35.8,17.0,9.4,11.3,7.5
職業別専業主婦(夫),(391),89.0,66.2,49.1,41.2,15.1,11.8,8.2,8.2
職業別その他,(62),80.6,38.7,40.3,41.9,12.9,12.9,6.5,14.5
職業別無職,(335),80.6,63.3,43.9,34.9,8.7,9.6,10.4,5.7
地域別区部,(1392),79.5,47.6,33.0,34.8,12.1,10.0,10.0,7.7
地域別市郡部,(612),89.7,66.4,50.7,44.1,16.8,14.9,6.8,5.8
