"年度[西暦]","性質","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2020","人件費","21265798","14.6","21155316","11.6"
"2020","(うち職員給)","14492726","10.0","14407375","7.9"
"2020","物件費","45826118","31.5","47767015","26.1"
"2020","維持補修費","969698","0.7","1016220","0.6"
"2020","扶助費","29607729","20.4","30198900","16.5"
"2020","補助費等","10583155","7.3","41610318","22.7"
"2020","普通建設事業費","24099125","16.6","22859657","12.5"
"2020","(うち受託事業費)","1926122","1.3","1868742","1.0"
"2020","公債費","189786","0.1","189786","0.1"
"2020","積立金","4284154","2.9","9901287","5.4"
"2020","投資及び出資金","0","0.0","0","0.0"
"2020","貸付金","496623","0.3","507977","0.3"
"2020","繰出金","7617814","5.2","7018457","3.8"
"2020","予備費","500000","0.3","700000","0.4"
"2020","歳出合計","145440000","100.0","182924933","100.0"
"2021","人件費","21144793","13.0",,
"2021","(うち職員給)","16239212","10.0",,
"2021","物件費","46576591","28.7",,
"2021","維持補修費","817978","0.5",,
"2021","扶助費","30898473","19.0",,
"2021","補助費等","14047803","8.6",,
"2021","普通建設事業費","39664125","24.4",,
"2021","(うち受託事業費)","323594","0.2",,
"2021","公債費","158449","0.1",,
"2021","積立金","143210","0.1",,
"2021","投資及び出資金","0","0.0",,
"2021","貸付金","477397","0.3",,
"2021","繰出金","7481181","4.6",,
"2021","予備費","1000000","0.6",,
"2021","歳出合計","162410000","100.0",,

"令和3年度港区行政資料集　一般会計歳出予算（性質別）","Ver202103",,,,
