年月,西暦（年）,月,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費,
前年同月比(％)／平成28年3月,2016,3,0,-0.3,0,2.5,0,0.4,-8.5,0.1,2.1,0.9,-2.4,1.8,1.1,0.8,
前年同月比(％)／平成28年4月,2016,4,-0.3,-0.4,-0.3,1.3,-0.1,0.5,-9.1,0.1,2.3,0.9,-2.1,1.5,1.3,0.9,
前年同月比(％)／平成28年5月,2016,5,-0.5,-0.4,-0.5,0.7,-0.1,0.5,-9,0.2,2.2,0.8,-2.4,1.5,1.6,0.8,
前年同月比(％)／平成28年6月,2016,6,-0.4,-0.4,-0.4,1.1,-0.1,0.5,-8.7,-0.1,2,1,-2.1,1.5,1.3,0.8,
前年同月比(％)／平成28年7月,2016,7,-0.4,-0.5,-0.4,1.1,-0.1,0.5,-7.7,-0.8,2.4,0.9,-2.6,1.6,0.8,0.7,
前年同月比(％)／平成28年8月,2016,8,-0.5,-0.5,-0.5,0.6,-0.1,0.4,-7.2,-1.2,2.4,0.9,-2.3,1.6,0.4,0.6,
前年同月比(％)／平成28年9月,2016,9,-0.5,-0.5,-0.5,0.6,-0.1,0.4,-6.2,-1.5,1.5,1,-2.1,1.5,0.3,0.6,
前年同月比(％)／平成28年10月,2016,10,0.1,-0.4,0.2,2.3,-0.2,0.2,-6,-1,1.2,1,-1.7,1.5,1,0.7,
前年同月比(％)／平成28年11月,2016,11,0.5,-0.4,0.6,3.6,-0.2,0.2,-5.8,-0.7,1,0.9,-1.5,1.5,0.8,0.4,
前年同月比(％)／平成28年12月,2016,12,0.3,-0.2,0.4,2.5,-0.2,0.2,-4.8,-1,0.6,0.8,-0.7,1.5,0.5,0.3,
前年同月比(％)／平成29年1月,2017,1,0.4,0.1,0.6,1.8,-0.2,0.3,-3.4,-0.1,1.1,0.5,0.3,1.5,0.9,0.4,
前年同月比(％)／平成29年2月,2017,2,0.3,0.2,0.4,0.8,-0.2,0.1,-2.1,0.6,1.3,0.6,0.3,1,0.4,0.3,
,,,,,,,,,,,,,,,,,
東京の物価／平成２９年３月,,,,,,,,,,,,,,,,,
参考表１　全国消費者物価１０大費目指数,,,,,,,,,,,,,,,,,
(平成２７年＝１００),,,,,,,,,,,,,,,,,
２０１５年＝１００,,,,,,,,,,,,,,,,,
