総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,国内需要財,国内需要財/国内品,国内需要財/輸入品,素原材料(1),中間財(2),中間財(2)/製品原材料,中間財(2)/建設用材料(3),中間財(2)/燃料・動力,中間財(2)/その他中間財,最終財,最終財/資本財(4),最終財/消費財,最終財/消費財/耐久消費財,最終財/消費財/非耐久消費財,(参考)生産財(1)+(2),(参考)投資財注3)
品目数,,,1273,934,339,72,684,472,109,20,83,517,154,363,81,282,756,266
ウエイト,,,1000,744.66,255.34,100.163,535.481,342.883,61.84,73.159,57.599,364.356,112.246,252.11,67.121,184.989,635.644,174.708
平成24年平均,2012,,99.3,100.8,94.5,116.6,97.7,98.3,92.5,99.2,98,97,96.8,97.1,101,96,100.7,95.1
平成25年平均,2013,,103.4,102.1,108.1,132.1,101.3,101,96.2,108.6,99.5,99,97.9,99.3,100.1,99.1,106.2,97.3
平成26年平均,2014,,105.3,103.1,112.7,134.5,103.9,102.8,100,115.5,100.2,99.8,98.8,100,99.3,100.3,108.8,99.3
平成27年平均,2015,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
平成28年平均,2016,,93.2,96.5,83.6,78.6,93.4,94,97.5,84.2,97.6,96.9,97.8,96.5,95.6,96.8,91.1,97.7
平成23年度平均,2011,,100.3,101.8,95.4,117.8,98.8,100.8,93.5,95.2,98,97.8,97,98,105.2,96,101.8,95.7
平成24年度平均,2012,,99.8,100.7,97,119.5,98,98.4,92.8,100.5,98.3,97.2,96.9,97.4,100.5,96.5,101.4,95.3
平成25年度平均,2013,,104.3,102.6,110.2,134.2,102.3,101.6,97.7,111.4,99.7,99.3,98.2,99.7,99.8,99.7,107.4,98
平成26年度平均,2014,,104.3,102.5,110.2,127.1,103.4,102.4,100.2,113.2,100.3,99.7,99.2,99.8,99.3,100,107.1,99.6
平成27年度平均,2015,,98.2,99.1,95.5,92.2,98.3,98.6,99.4,95.2,99.6,99.6,99.7,99.5,99.6,99.5,97.4,99.6
平成28年1月,2016,1,94.9,97.2,88.3,80.4,95.4,96,98.2,87,98.8,98.3,99,98,98.3,97.9,93,98.7
平成28年2月,2016,2,93.7,96.9,84.5,74.9,94.5,95.3,97.8,84.5,98.5,97.9,98.7,97.5,97.7,97.4,91.4,98.4
平成28年3月,2016,3,93.3,96.8,83.2,74.4,93.9,94.9,97.5,83.1,98.3,97.6,98.6,97.2,97.1,97.2,90.8,98.2
平成28年4月,2016,4,92.8,96.4,82.4,75.3,93.2,93.8,97.2,83.1,97.7,97.1,98.3,96.5,96.4,96.6,90.4,97.9
平成28年5月,2016,5,92.8,96.4,82.4,75.5,93.2,93.7,97.5,84.1,97.6,96.9,97.9,96.4,96.2,96.5,90.4,97.8
平成28年6月,2016,6,92.6,96.4,81.6,76.3,92.8,93.1,97.4,84.1,97.4,96.7,97.7,96.3,95.4,96.6,90.2,97.6
平成28年7月,2016,7,92.5,96.3,81.5,77.2,92.9,93,97.3,85.3,97.2,96.2,97.4,95.7,94.7,96,90.4,97.3
平成28年8月,2016,8,91.9,96,80,75.6,92.4,92.7,96.9,83.8,97.1,95.7,96.7,95.2,93.9,95.7,89.8,96.8
平成28年9月,2016,9,92.2,96.1,80.7,77.7,92.4,92.6,97.1,83.4,97.1,95.9,96.9,95.4,94,95.9,90.1,97
平成28年10月,2016,10,92.3,96,81.7,78.8,92.3,92.9,97.1,82.2,96.9,96.1,96.9,95.7,93.8,96.3,90.2,97
平成28年11月,2016,11,93.8,96.4,86.5,87,93.2,93.9,97.5,83.6,97,96.7,97.5,96.3,94.3,97,92.2,97.5
平成28年12月,2016,12,95.5,97.1,90.9,90.6,94.9,95.7,98.3,86.3,97.3,97.8,98.4,97.5,95.6,98.2,94.2,98.4
平成29年1月注1),2017,1,96.3,97.7,92.3,94.5,95.7,96.4,98.8,88.7,97.3,97.7,98.4,97.4,95.1,98.2,95.5,98.5
前月比(%),,,0.8,0.6,1.5,4.3,0.8,0.7,0.5,2.8,0,-0.1,0,-0.1,-0.5,0,1.4,0.1
前年同月比(%),,,1.5,0.5,4.5,17.5,0.3,0.4,0.6,2,-1.5,-0.6,-0.6,-0.6,-3.3,0.3,2.7,-0.2
,,,,,,,,,,,,,,,,,,
東京の物価／平成29年2月,,,,,,,,,,,,,,,,,,
参考表５　需要段階別・用途別指数,,,,,,,,,,,,,,,,,,
資料　日本銀行調査統計局,,,,,,,,,,,,,,,,,,
注1)  最新月の数値は速報値のため、後日訂正される場合がある。,,,,,,,,,,,,,,,,,,
注2)　2015年（平成27年）基準から、従来の「食料品・飲料・たばこ・飼料」の名称を「飲食料品」に、「製材・木製品」の名称を「木材・木製品」に、それぞれ変更している。,,,,,,,,,,,,,,,,,,
注3)  投資財：(3)＋(4)＋素原材料内建設用材料,,,,,,,,,,,,,,,,,,
２０１５年＝１００（平成２７年＝１００）,,,,,,,,,,,,,,,,,,
