"年度","園数[か所]","面積[平法メートル]"
"2014","58","41346.85"
"2015","58","41543.72"
"2016","58","41543.72"
"2017","57","40753.99"
"2018","57","40753.99"

"平成30年度港区行政資料集　児童遊園数及び面積","Ver201804",
