"年月日［西暦］","地区","町丁目","世帯数","人口男［人］","人口女［人］","人口合計［人］"
20090101,"芝地区総合支所管内","芝一丁目",626,518,480,998
20090101,"芝地区総合支所管内","芝二丁目",1473,1172,1257,2429
20090101,"芝地区総合支所管内","芝三丁目",1803,1378,1465,2843
20090101,"芝地区総合支所管内","芝四丁目",1123,837,916,1753
20090101,"芝地区総合支所管内","芝五丁目",1983,1373,1693,3066
20090101,"芝地区総合支所管内","海岸一丁目",1097,907,853,1760
20090101,"芝地区総合支所管内","東新橋一丁目",707,640,739,1379
20090101,"芝地区総合支所管内","東新橋二丁目",150,108,93,201
20090101,"芝地区総合支所管内","新橋一丁目",32,27,21,48
20090101,"芝地区総合支所管内","新橋二丁目",103,82,74,156
20090101,"芝地区総合支所管内","新橋三丁目",175,159,142,301
20090101,"芝地区総合支所管内","新橋四丁目",231,190,190,380
20090101,"芝地区総合支所管内","新橋五丁目",280,243,230,473
20090101,"芝地区総合支所管内","新橋六丁目",532,407,315,722
20090101,"芝地区総合支所管内","西新橋一丁目",156,141,142,283
20090101,"芝地区総合支所管内","西新橋二丁目",211,176,180,356
20090101,"芝地区総合支所管内","西新橋三丁目",312,157,257,414
20090101,"芝地区総合支所管内","三田一丁目",1292,1043,1180,2223
20090101,"芝地区総合支所管内","三田二丁目",1847,1595,1890,3485
20090101,"芝地区総合支所管内","三田三丁目",831,629,683,1312
20090101,"芝地区総合支所管内","浜松町一丁目",719,621,600,1221
20090101,"芝地区総合支所管内","浜松町二丁目",167,153,141,294
20090101,"芝地区総合支所管内","芝大門一丁目",412,319,347,666
20090101,"芝地区総合支所管内","芝大門二丁目",476,357,406,763
20090101,"芝地区総合支所管内","芝公園一丁目",132,93,98,191
20090101,"芝地区総合支所管内","芝公園二丁目",393,266,271,537
20090101,"芝地区総合支所管内","芝公園三丁目",127,109,117,226
20090101,"芝地区総合支所管内","芝公園四丁目",52,37,30,67
20090101,"芝地区総合支所管内","虎ノ門一丁目",160,132,168,300
20090101,"芝地区総合支所管内","虎ノ門二丁目",79,64,53,117
20090101,"芝地区総合支所管内","虎ノ門三丁目",658,523,573,1096
20090101,"芝地区総合支所管内","虎ノ門四丁目",350,189,337,526
20090101,"芝地区総合支所管内","虎ノ門五丁目",240,222,242,464
20090101,"芝地区総合支所管内","愛宕一丁目",50,46,50,96
20090101,"芝地区総合支所管内","愛宕二丁目",119,95,97,192
20090201,"芝地区総合支所管内","芝一丁目",625,521,477,998
20090201,"芝地区総合支所管内","芝二丁目",1468,1163,1252,2415
20090201,"芝地区総合支所管内","芝三丁目",1809,1385,1465,2850
20090201,"芝地区総合支所管内","芝四丁目",1133,849,920,1769
20090201,"芝地区総合支所管内","芝五丁目",1984,1376,1692,3068
20090201,"芝地区総合支所管内","海岸一丁目",1113,919,865,1784
20090201,"芝地区総合支所管内","東新橋一丁目",707,641,737,1378
20090201,"芝地区総合支所管内","東新橋二丁目",150,106,96,202
20090201,"芝地区総合支所管内","新橋一丁目",32,26,21,47
20090201,"芝地区総合支所管内","新橋二丁目",101,82,72,154
20090201,"芝地区総合支所管内","新橋三丁目",176,160,142,302
20090201,"芝地区総合支所管内","新橋四丁目",235,192,191,383
20090201,"芝地区総合支所管内","新橋五丁目",277,242,227,469
20090201,"芝地区総合支所管内","新橋六丁目",531,405,311,716
20090201,"芝地区総合支所管内","西新橋一丁目",159,142,147,289
20090201,"芝地区総合支所管内","西新橋二丁目",210,176,175,351
20090201,"芝地区総合支所管内","西新橋三丁目",312,159,255,414
20090201,"芝地区総合支所管内","三田一丁目",1294,1041,1179,2220
20090201,"芝地区総合支所管内","三田二丁目",1844,1598,1891,3489
20090201,"芝地区総合支所管内","三田三丁目",836,624,694,1318
20090201,"芝地区総合支所管内","浜松町一丁目",720,624,604,1228
20090201,"芝地区総合支所管内","浜松町二丁目",165,150,142,292
20090201,"芝地区総合支所管内","芝大門一丁目",410,323,344,667
20090201,"芝地区総合支所管内","芝大門二丁目",474,357,407,764
20090201,"芝地区総合支所管内","芝公園一丁目",133,95,96,191
20090201,"芝地区総合支所管内","芝公園二丁目",389,262,272,534
20090201,"芝地区総合支所管内","芝公園三丁目",128,111,115,226
20090201,"芝地区総合支所管内","芝公園四丁目",52,35,29,64
20090201,"芝地区総合支所管内","虎ノ門一丁目",158,131,168,299
20090201,"芝地区総合支所管内","虎ノ門二丁目",78,63,51,114
20090201,"芝地区総合支所管内","虎ノ門三丁目",660,524,579,1103
20090201,"芝地区総合支所管内","虎ノ門四丁目",348,189,334,523
20090201,"芝地区総合支所管内","虎ノ門五丁目",236,221,238,459
20090201,"芝地区総合支所管内","愛宕一丁目",49,45,49,94
20090201,"芝地区総合支所管内","愛宕二丁目",119,96,99,195
20090301,"芝地区総合支所管内","芝一丁目",629,529,475,1004
20090301,"芝地区総合支所管内","芝二丁目",1462,1157,1256,2413
20090301,"芝地区総合支所管内","芝三丁目",1816,1398,1477,2875
20090301,"芝地区総合支所管内","芝四丁目",1122,838,918,1756
20090301,"芝地区総合支所管内","芝五丁目",1990,1376,1695,3071
20090301,"芝地区総合支所管内","海岸一丁目",1110,917,857,1774
20090301,"芝地区総合支所管内","東新橋一丁目",715,645,746,1391
20090301,"芝地区総合支所管内","東新橋二丁目",148,106,94,200
20090301,"芝地区総合支所管内","新橋一丁目",31,25,21,46
20090301,"芝地区総合支所管内","新橋二丁目",102,82,71,153
20090301,"芝地区総合支所管内","新橋三丁目",175,157,141,298
20090301,"芝地区総合支所管内","新橋四丁目",230,189,190,379
20090301,"芝地区総合支所管内","新橋五丁目",275,239,228,467
20090301,"芝地区総合支所管内","新橋六丁目",529,404,308,712
20090301,"芝地区総合支所管内","西新橋一丁目",159,142,144,286
20090301,"芝地区総合支所管内","西新橋二丁目",208,175,174,349
20090301,"芝地区総合支所管内","西新橋三丁目",309,161,251,412
20090301,"芝地区総合支所管内","三田一丁目",1295,1040,1185,2225
20090301,"芝地区総合支所管内","三田二丁目",1848,1604,1900,3504
20090301,"芝地区総合支所管内","三田三丁目",838,624,696,1320
20090301,"芝地区総合支所管内","浜松町一丁目",732,636,607,1243
20090301,"芝地区総合支所管内","浜松町二丁目",166,150,144,294
20090301,"芝地区総合支所管内","芝大門一丁目",411,322,346,668
20090301,"芝地区総合支所管内","芝大門二丁目",480,358,412,770
20090301,"芝地区総合支所管内","芝公園一丁目",129,93,92,185
20090301,"芝地区総合支所管内","芝公園二丁目",390,265,270,535
20090301,"芝地区総合支所管内","芝公園三丁目",129,111,116,227
20090301,"芝地区総合支所管内","芝公園四丁目",54,35,31,66
20090301,"芝地区総合支所管内","虎ノ門一丁目",159,132,169,301
20090301,"芝地区総合支所管内","虎ノ門二丁目",77,63,50,113
20090301,"芝地区総合支所管内","虎ノ門三丁目",665,525,584,1109
20090301,"芝地区総合支所管内","虎ノ門四丁目",345,191,332,523
20090301,"芝地区総合支所管内","虎ノ門五丁目",235,221,237,458
20090301,"芝地区総合支所管内","愛宕一丁目",49,45,49,94
20090301,"芝地区総合支所管内","愛宕二丁目",118,94,99,193
20090401,"芝地区総合支所管内","芝一丁目",648,538,481,1019
20090401,"芝地区総合支所管内","芝二丁目",1467,1149,1267,2416
20090401,"芝地区総合支所管内","芝三丁目",1814,1394,1482,2876
20090401,"芝地区総合支所管内","芝四丁目",1135,854,920,1774
20090401,"芝地区総合支所管内","芝五丁目",1983,1366,1686,3052
20090401,"芝地区総合支所管内","海岸一丁目",1122,928,867,1795
20090401,"芝地区総合支所管内","東新橋一丁目",721,649,749,1398
20090401,"芝地区総合支所管内","東新橋二丁目",153,108,97,205
20090401,"芝地区総合支所管内","新橋一丁目",30,22,20,42
20090401,"芝地区総合支所管内","新橋二丁目",102,82,71,153
20090401,"芝地区総合支所管内","新橋三丁目",174,157,140,297
20090401,"芝地区総合支所管内","新橋四丁目",228,187,190,377
20090401,"芝地区総合支所管内","新橋五丁目",278,240,227,467
20090401,"芝地区総合支所管内","新橋六丁目",532,404,310,714
20090401,"芝地区総合支所管内","西新橋一丁目",160,143,145,288
20090401,"芝地区総合支所管内","西新橋二丁目",211,177,176,353
20090401,"芝地区総合支所管内","西新橋三丁目",333,162,276,438
20090401,"芝地区総合支所管内","三田一丁目",1298,1036,1184,2220
20090401,"芝地区総合支所管内","三田二丁目",1853,1603,1910,3513
20090401,"芝地区総合支所管内","三田三丁目",846,635,703,1338
20090401,"芝地区総合支所管内","浜松町一丁目",751,653,616,1269
20090401,"芝地区総合支所管内","浜松町二丁目",171,153,146,299
20090401,"芝地区総合支所管内","芝大門一丁目",407,319,343,662
20090401,"芝地区総合支所管内","芝大門二丁目",488,366,417,783
20090401,"芝地区総合支所管内","芝公園一丁目",132,95,94,189
20090401,"芝地区総合支所管内","芝公園二丁目",398,269,273,542
20090401,"芝地区総合支所管内","芝公園三丁目",130,113,118,231
20090401,"芝地区総合支所管内","芝公園四丁目",58,39,31,70
20090401,"芝地区総合支所管内","虎ノ門一丁目",158,131,165,296
20090401,"芝地区総合支所管内","虎ノ門二丁目",83,72,46,118
20090401,"芝地区総合支所管内","虎ノ門三丁目",677,533,598,1131
20090401,"芝地区総合支所管内","虎ノ門四丁目",356,191,338,529
20090401,"芝地区総合支所管内","虎ノ門五丁目",226,208,225,433
20090401,"芝地区総合支所管内","愛宕一丁目",49,45,49,94
20090401,"芝地区総合支所管内","愛宕二丁目",121,98,103,201
20090501,"芝地区総合支所管内","芝一丁目",652,543,480,1023
20090501,"芝地区総合支所管内","芝二丁目",1459,1144,1271,2415
20090501,"芝地区総合支所管内","芝三丁目",1813,1390,1482,2872
20090501,"芝地区総合支所管内","芝四丁目",1138,865,921,1786
20090501,"芝地区総合支所管内","芝五丁目",1992,1378,1683,3061
20090501,"芝地区総合支所管内","海岸一丁目",1118,932,866,1798
20090501,"芝地区総合支所管内","東新橋一丁目",720,647,747,1394
20090501,"芝地区総合支所管内","東新橋二丁目",154,111,95,206
20090501,"芝地区総合支所管内","新橋一丁目",30,22,20,42
20090501,"芝地区総合支所管内","新橋二丁目",102,82,70,152
20090501,"芝地区総合支所管内","新橋三丁目",172,154,137,291
20090501,"芝地区総合支所管内","新橋四丁目",227,185,187,372
20090501,"芝地区総合支所管内","新橋五丁目",286,242,231,473
20090501,"芝地区総合支所管内","新橋六丁目",534,407,310,717
20090501,"芝地区総合支所管内","西新橋一丁目",163,145,146,291
20090501,"芝地区総合支所管内","西新橋二丁目",215,177,179,356
20090501,"芝地区総合支所管内","西新橋三丁目",332,160,275,435
20090501,"芝地区総合支所管内","三田一丁目",1309,1040,1194,2234
20090501,"芝地区総合支所管内","三田二丁目",1860,1609,1911,3520
20090501,"芝地区総合支所管内","三田三丁目",883,652,724,1376
20090501,"芝地区総合支所管内","浜松町一丁目",748,654,612,1266
20090501,"芝地区総合支所管内","浜松町二丁目",174,150,149,299
20090501,"芝地区総合支所管内","芝大門一丁目",406,318,348,666
20090501,"芝地区総合支所管内","芝大門二丁目",494,372,417,789
20090501,"芝地区総合支所管内","芝公園一丁目",131,93,94,187
20090501,"芝地区総合支所管内","芝公園二丁目",398,268,273,541
20090501,"芝地区総合支所管内","芝公園三丁目",130,114,118,232
20090501,"芝地区総合支所管内","芝公園四丁目",58,39,31,70
20090501,"芝地区総合支所管内","虎ノ門一丁目",160,132,167,299
20090501,"芝地区総合支所管内","虎ノ門二丁目",84,73,46,119
20090501,"芝地区総合支所管内","虎ノ門三丁目",677,530,600,1130
20090501,"芝地区総合支所管内","虎ノ門四丁目",355,192,336,528
20090501,"芝地区総合支所管内","虎ノ門五丁目",215,194,211,405
20090501,"芝地区総合支所管内","愛宕一丁目",48,44,48,92
20090501,"芝地区総合支所管内","愛宕二丁目",121,97,103,200
20090601,"芝地区総合支所管内","芝一丁目",643,539,478,1017
20090601,"芝地区総合支所管内","芝二丁目",1446,1144,1266,2410
20090601,"芝地区総合支所管内","芝三丁目",1802,1382,1471,2853
20090601,"芝地区総合支所管内","芝四丁目",1129,854,917,1771
20090601,"芝地区総合支所管内","芝五丁目",1994,1381,1689,3070
20090601,"芝地区総合支所管内","海岸一丁目",1113,931,871,1802
20090601,"芝地区総合支所管内","東新橋一丁目",719,644,746,1390
20090601,"芝地区総合支所管内","東新橋二丁目",154,111,95,206
20090601,"芝地区総合支所管内","新橋一丁目",30,22,20,42
20090601,"芝地区総合支所管内","新橋二丁目",103,83,71,154
20090601,"芝地区総合支所管内","新橋三丁目",171,153,137,290
