"年度[西暦]","食品衛生法に規定する営業(許可) 施設数[所]","食品衛生法に規定する営業(許可) 監視指導[回]","食品衛生法に規定する営業(届出) 施設数[所]","食品衛生法に規定する営業(届出) 監視指導[回]","都条例に規定する営業 施設数[所]","都条例に規定する営業 監視指導[回]","ふぐ取扱所 施設数[所]","ふぐ取扱所 監視指導[回]","港区食品衛生法施行細則 報告等 施設数[所]","港区食品衛生法施行細則 報告等 監視指導[回]","食鳥処理業 施設数[所]","食鳥処理業 監視指導[回]","施設数 合計[所]","監視指導 合計[回]"
"2018","22669","13672",,,"2384","2098","1227","310","4200","1925","11","1","30491","18006"
"2019","22509","13459",,,"2426","2514","1201","262","4203","1873","11","1","30350","18109"
"2020","22815","9295",,,"2401","789","1161","103","4218","36","11","1","30606","10224"
"2021","19835","9357","3999","653",,"78","1131","115","65","14","11","1","25041","10218"
"2022","19686","8068","6282","399",,,"374","84","72","20","11","1","26425","8572"

"令和5年度港区行政資料集　食品衛生関係営業施設数と監視指導の状況","Ver202303",,,,,,,,,,,,,
