初心運転者（普通二輪免許取得者）の交通事故状況（令和5年）,,,
,,,
教  習  所,卒　業　者　数,事　故　人　員,事　故　者　率
尾      久,732,2,0.27%
今      井,157,1,0.64%
江  戸  川,303,4,1.32%
ト　ヨ　タ,830,5,0.60%
東      急,895,4,0.45%
秋      津,605,3,0.50%
調      布,475,0,0.00%
日  の  丸,808,5,0.62%
和      泉,294,2,0.68%
平  和  橋,273,1,0.37%
蒲      田,159,0,0.00%
王      子,130,1,0.77%
飛 鳥 日 野,183,1,0.55%
田      無,26,0,0.00%
武  蔵  境,1592,11,0.69%
新  東  京,469,0,0.00%
拝      島,340,3,0.88%
世  田  谷,273,1,0.37%
京      成,199,0,0.00%
二 子 玉 川,1011,4,0.40%
東京島しょ部,0,0,0.00%
石  神  井,930,3,0.32%
八王子中央,567,4,0.71%
葛  西  橋,323,2,0.62%
伊 豆 大 島,0,0,0.00%
足　　　立,588,2,0.34%
北  足  立,47,1,2.13%
新  小  岩,325,0,0.00%
北 豊 島 園,543,2,0.37%
町      田,276,2,0.72%
多      摩,123,0,0.00%
西  多  摩,223,1,0.45%
東京ｾﾝﾁュﾘー,4,0,0.00%
合　　　計,13703,65,0.47%
