"年度","本会議 定例会[回]","本会議 定例会[日]","本会議 臨時会[回]","本会議 臨時会[日]","本会議 計[回]","本会議 計[日]","常任委員会 総務[回]","常任委員会 保健福祉[回]","常任委員会 建設[回]","常任委員会 区民文教[回]","常任委員会 計[回]","特別委員会[回]","特別委員会 委員会数","議会運営委員会[回]","審議等項目 議案[件]","審議等項目 発案[件]","審議等項目 請願[件]","審議等項目 区長報告[件]","審議等項目 その他[件]","審議等項目 計[件]"
"2017","4","15","1","1","5","16","27","28","25","30","110","49","6","21","91","7","7","6","15","126"
"2018","4","16","1","1","5","17","26","32","24","26","108","55","6","21","111","6","5","7","13","142"
"2019","4","17","1","1","5","18","24","25","24","23","96","62","8","21","126","15","25","15","21","202"
"2020","4","18","1","1","5","19","24","27","23","29","103","53","8","26","120","7","8","12","18","165"
"2021","4","14","1","1","5","15","23","26","23","25","97","61","7","20","104","8","15","11","16","154"

"令和4年度港区行政資料集　区議会活動状況","Ver202203",,,,,,,,,,,,,,,,,,,
