地域階層,地域コード,項番 Item number,地域,District,総数 Total／棟数 Number,総数 Total／床面積の合計 Total floor space,総数 Total／工事費予定額 Estimated construction cost,木造 Wooden／棟数 Number,木造 Wooden／床面積の合計 Total floor space,木造 Wooden／工事費予定額 Estimated building cost,鉄骨鉄筋コンクリート造 Steel reinforced concrete／棟数 Number,鉄骨鉄筋コンクリート造 Steel reinforced concrete／床面積の合計 Total floor space,鉄骨鉄筋コンクリート造 Steel reinforced concrete／工事費予定額 Estimated building cost,鉄筋コンクリート造 Reinforced concrete／棟数 Number,鉄筋コンクリート造 Reinforced concrete／床面積の合計 Total floor space,鉄筋コンクリート造 Reinforced concrete／工事費予定額 Estimated building cost,鉄骨造 Steel-frame／棟数 Number,鉄骨造 Steel-frame／床面積の合計 Total floor space,鉄骨造 Steel-frame／工事費予定額 Estimated building cost,コンクリートブロック造 Concrete-block／棟数 Number,コンクリートブロック造 Concrete-block／床面積の合計 Total floor space,コンクリートブロック造 Concrete-block／工事費予定額 Estimated building cost,その他 Others／棟数 Number,その他 Others／床面積の合計 Total floor space,その他 Others／工事費予定額 Estimated building cost
0,13000,,総数,Tokyo-to,51164,15586694,372847050,37032,4101700,71396364,127,1163032,37149458,3108,5408014,142950750,10364,4886280,121182482,21,1267,30564,512,26401,137432
1,13100,,区部,All ku,30504,11429962,293085896,20531,2339190,41898941,104,920122,30385057,2552,4558227,123068483,6973,3589851,97602782,11,989,26134,333,21583,104499
5,13101,1,千代田区,Chiyoda-ku,166,585214,22472094,10,1350,31470,8,385641,15761000,48,79137,2222320,90,118101,4454674,-,-,-,10,985,2630
5,13102,2,中央区,Chuo-ku,185,776024,24146215,18,1825,33590,3,127340,4567500,73,188370,5755784,91,458489,13789341,-,-,-,-,-,-
5,13103,3,港区,Minato-ku,488,1004787,33422262,100,13178,231334,13,75549,2577520,147,339042,11088270,222,576831,19524048,-,-,-,6,187,1090
5,13104,4,新宿区,Shinjuku-ku,899,536563,14902860,430,48797,895986,6,10960,x,144,218938,6208384,287,249417,7488136,2,137,x,30,8314,14977
5,13105,5,文京区,Bunkyo-ku,585,298175,7763292,351,41766,748950,5,4532,x,90,167844,4572365,138,83798,2271567,-,-,-,1,235,x
5,13106,6,台東区,Taito-ku,437,322270,8698206,181,19128,377985,3,13711,431140,97,134655,3723670,156,154776,4165411,-,-,-,-,-,-
5,13107,7,墨田区,Sumida-ku,825,299074,7444785,483,49888,855959,4,4872,159500,112,160852,4427908,222,83263,2000548,1,34,x,3,165,x
5,13108,8,江東区,Koto-ku,1059,809544,16782442,442,46591,798457,2,193863,x,101,297436,7299323,467,268104,5124175,-,-,-,47,3550,x
5,13109,9,品川区,Shinagawa-ku,1071,638533,18127331,684,72239,1338396,2,2176,x,125,475608,14222452,251,88185,2519767,-,-,-,9,325,x
5,13110,10,目黒区,Meguro-ku,886,237814,6398465,570,78960,1512742,6,3796,106354,116,105483,3429603,190,49509,1349332,-,-,-,4,66,434
5,13111,11,大田区,Ota-ku,2351,665705,14852781,1655,186092,3322715,7,6136,217000,173,271062,6887520,499,201390,4399953,4,665,20887,13,360,4706
5,13112,12,世田谷区,Setagaya-ku,3557,763721,18080268,2645,318960,5976601,6,4635,134400,219,280818,7753916,654,157626,4205871,-,-,-,33,1682,9480
5,13113,13,渋谷区,Shibuya-ku,690,340048,10352737,290,37659,710495,5,10662,x,154,180125,5774416,238,111454,3516335,-,-,-,3,148,x
5,13114,14,中野区,Nakano-ku,1066,234491,4900962,746,85472,1516829,4,2326,62210,96,80972,1660291,211,65546,1660595,-,-,-,9,175,1037
5,13115,15,杉並区,Suginami-ku,2491,501992,11682741,1861,202115,3749451,1,32231,x,129,172766,4668016,475,94505,2393395,1,11,x,24,364,1829
5,13116,16,豊島区,Toshima-ku,765,254753,6719623,481,54276,1027831,2,382,x,71,143240,3976288,210,56838,1709384,1,17,x,-,-,-
5,13117,17,北区,Kita-ku,1004,366435,8375672,591,64141,1112546,2,1273,x,97,204887,4940987,292,95078,2187519,-,-,-,22,1056,x
5,13118,18,荒川区,Arakawa-ku,578,159303,3829982,372,41998,750639,1,3976,x,58,81575,2195767,143,31691,803226,-,-,-,4,63,x
5,13119,19,板橋区,Itabashi-ku,1634,542046,11043166,1143,129116,2244798,13,29786,743656,108,264723,5473628,361,118266,2580354,1,11,x,8,144,x
