年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,特別区税 Ku taxes,地方譲与税 Local transfer tax,利子割交付金 Interest grants,配当割交付金等 Dividend grants,ゴルフ場利用税交付金 Golf facilities tax allocations,地方消費税交付金 Local consumption tax allocations,自動車取得税交付金 Automobile acquisition tax allocations,地方特例交付金 Special local grants,特別区財政調整交付金 Finance adjustment grants for ku,交通安全対策特別交付金 Special grants for traffic safety measures,分担金及び負担金 Beneficiary contribution,使用料 Facility use charges,手数料 Fees,国庫支出金 National treasury disbursements,都支出金 Metropolitan disbursements,財産収入 Revenue from property,寄附金 Contributions,繰入金 Funds transferred,繰越金 Balance brought forward,諸収入 Miscellaneous,地方債 Municipal bonds
平成24,2012,13100,,区部,All ku,3258147,922015,15013,11739,7457,38,132834,8619,5025,905047,1214,27202,80035,15497,542630,190416,22447,7641,134773,94003,63657,70846
平成25,2013,13100,,区部,All ku,3312579,948056,14365,14969,23481,40,131702,8403,4950,936101,1137,29043,84368,16007,563811,199026,15364,7607,109397,96394,65464,42895
平成26,2014,13100,,区部,All ku,3577931,990706,13730,15157,35265,37,156888,4311,4489,981603,974,30877,85965,15986,594437,210435,20561,5022,167469,110386,73829,59804
平成26,2014,13101,1,千代田区,Chiyoda-ku,79638,16663,285,202,470,-,9643,96,10,6851,20,303,3744,560,3311,1938,329,772,29974,3002,1465,-
平成26,2014,13102,2,中央区,Chuo-ku,82300,23775,371,329,772,-,8146,125,59,12834,24,495,5304,730,10087,5334,963,40,4023,2539,3894,2455
平成26,2014,13103,3,港区,Minato-ku,160447,73044,431,973,2260,-,11431,144,52,1955,40,403,6770,738,11699,6363,5805,229,28226,6562,3320,-
平成26,2014,13104,4,新宿区,Shinjuku-ku,139013,42415,457,622,1447,-,9312,152,79,29932,42,1631,3538,859,26736,8769,1123,100,3429,3454,2863,2051
平成26,2014,13105,5,文京区,Bunkyo-ku,82138,30171,258,487,1133,-,4079,86,53,18720,19,954,1957,454,8572,4226,352,107,5830,2867,1313,500
平成26,2014,13106,6,台東区,Taito-ku,96842,19663,302,269,629,-,4051,101,100,30058,25,574,2569,642,20971,6680,527,80,309,4242,3001,2050
平成26,2014,13107,7,墨田区,Sumida-ku,109495,21899,345,329,765,-,3967,115,149,39414,29,1019,2388,489,20636,6719,131,362,2285,3187,1168,4100
