年度,Fiscal year,組織,Form of organization,業種,Contractor classification,資本金階層別,By size of capital,企業数 Enterprises,完成工事高 Value of construction work completed／元請 Original contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／土木 Civil engineering,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／建築 Building construction,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／機械 Machinery,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／土木 Civil engineering,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／建築 Building construction,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／機械 Machinery,完成工事高 Value of construction work completed／下請 Subcontract／総数 Total,完成工事高 Value of construction work completed／下請 Subcontract／土木 Civil engineering,完成工事高 Value of construction work completed／下請 Subcontract／建築 Building construction,完成工事高 Value of construction work completed／下請 Subcontract／機械 Machinery
平成25,2013,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／法人,Total／Corporation,1000万円～3000万円未満,10-30millionyen,8247,824275,649745,30829,501456,117459,174530,77047,93560,3923,1169438,197903,806533,165003
平成25,2013,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／法人,Total／Corporation,3000万円～5000万円未満,30-50millionyen,970,575200,450563,24051,403180,23332,124637,79478,41957,3202,425402,116369,262278,46755
平成25,2013,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／法人,Total／Corporation,5000万円～1億円未満,50-100millionyen,587,609992,476742,62510,394170,20062,133250,62666,67593,2991,631024,210694,355788,64542
平成25,2013,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／法人,Total／Corporation,1億円～10億円未満,100millionyento1billionyen,237,1433797,1189583,184362,839941,165280,244214,142768,82488,18958,1022111,260815,724722,36574
平成25,2013,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／法人,Total／Corporation,10億円～50億円未満,1-5billionyen,42,1546170,1268129,196830,1026329,44970,278041,166851,107554,3636,613334,85615,499398,28321
平成25,2013,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／法人,Total／Corporation,50億円以上,5billionyenormore,43,9363657,7005036,927353,5863228,214455,2358621,1673827,605135,79659,1054130,300891,720464,32775
平成25,2013,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／法人,Total／Corporation,都内元請完成工事高及び施工企業数,Value of original contracts and number of enterprises completing construction work within Tokyo-to ,15854,7372341,5843173,487405,4941264,414504,1529168,780837,598811,149520,…,…,…,…
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,,,,,
3-6  経営組織，業種別による企業数，完成工事高（平成21～25年度） 3-6  ENTERPRISES， VALUE OF CONSTRUCTION WORK COMPLETED BY FORM OF ORGANIZATION AND CONTRACTOR CLASSIFICATION ( Fiscal Years 2009～2013 ）,,,,,,,,,,,,,,,,,,,,,
資料：国土交通省 「建設工事施工統計調査報告」 Source: Ministry of Land， Infrastructure， Transport and Tourism,,,,,,,,,,,,,,,,,,,,,
（単位　金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,,,
