年度,Fiscal Year,科名,Courses,入校者 Enrolled,修了者 Completed,就職状況 Placement／就職 Employed,就職状況 Placement／自営 Self Employed,就職状況 Placement／就職率 Employment Rate (%)
平成25,2013,総数,All Courses,4517,3860,2562,68,68.1
令和26,2014,総数,All Courses,4345,3826,2539,74,68.3
令和26,2014,メカトロニクス,Mechatronics (2 years),43,33,28,-,84.8
令和26,2014,自動車整備工学,Automobile mechanics (2 years),57,43,43,-,100
令和26,2014,機械加工,Machining (2 years),18,19,18,-,94.7
令和26,2014,自動車車体整備,Automobile body repair (2 years),20,13,13,-,100
令和26,2014,エンジニア養成,Engineering (2 years),16,8,8,-,100
令和26,2014,精密加工,Precision machining,13,17,17,-,100
令和26,2014,木工技術,Woodworking,60,48,41,-,85.4
令和26,2014,インテリアサービス,Interior decoration,19,14,14,-,100
令和26,2014,電気工事,Electrical wiring ,117,95,82,-,86.3
令和26,2014,コンピュータ制御システム,Embedded computer system development,10,6,4,-,66.7
令和26,2014,電気設備技術,Electrical work,23,19,19,-,100
令和26,2014,計測制御システム,Measurement control systems,18,15,12,1,86.7
令和26,2014,環境分析,Environmental analysis,19,16,13,-,81.3
令和26,2014,自動車塗装,Automobile body painting,22,14,14,-,100
令和26,2014,パソコングラフィック,Computer graphics,30,21,21,-,100
令和26,2014,ＯＡシステム開発,OA system development,50,38,34,-,89.5
令和26,2014,ネットワークプログラミング,Network programming,30,19,15,-,78.9
令和26,2014,金型加工,Die and mold machining,14,13,12,-,92.3
令和26,2014,三次元CAD・CAMモデル,CAD／CAM 3D modeling,19,18,14,-,77.8
令和26,2014,機械組立技術,Machine assembly,9,8,5,-,62.5
令和26,2014,建築設備,Building equipment installation,19,11,10,-,90.9
令和26,2014,広告美術,Advertising art,17,11,9,1,90.9
令和26,2014,サイン・ディスプレイ,Signs and displays,23,21,19,-,90.5
令和26,2014,測量設計,Surveying,18,11,6,-,54.5
令和26,2014,建築塗装,Construction painting,11,10,8,1,90
令和26,2014,環境空調サービス,Air conditioning services,17,10,9,1,100
令和26,2014,和装技術,Kimono-making,29,23,14,2,69.6
令和26,2014,電気設備システム,Electrical facilities management,30,26,26,-,100
令和26,2014,Ｗｅｂ設計,Web design,29,21,14,1,71.4
令和26,2014,組込みシステム技術,Embedded systems technology,9,4,4,-,100
令和26,2014,若年者就業支援科(福祉サービスコース),Employment support course for young people (welfare service course),12,12,12,-,100
令和26,2014,若年者就業支援科(塗装コース),Employment support course for young people (painting course),14,9,9,-,100
令和26,2014,若年者就業支援科（溶接コース）,Employment support course for young people (welding course),8,3,3,-,100
令和26,2014,ネットワーク施工,Network technology,49,34,22,5,79.4
令和26,2014,プラスチック加工,Plastics processing,11,9,8,-,88.9
令和26,2014,アパレルパタンナー,Fashion pattern making,30,23,13,-,56.5
令和26,2014,製くつ,Shoemaking,20,19,19,-,100
令和26,2014,財務管理,Financial accounting,117,101,45,1,45.5
令和26,2014,ＣＡＤ製図,CAD drafting,170,182,115,4,65.4
令和26,2014,建築ＣＡＤ,Architecture CAD,55,38,33,-,86.8
令和26,2014,溶接,Welding,36,37,21,1,59.5
令和26,2014,住宅内外装仕上,Interior and exterior finishing,35,43,32,2,79.1
令和26,2014,建築設備施工,Equipment installation,26,20,16,-,80
令和26,2014,住宅リフォーム,Home renovation,54,45,32,5,82.2
令和26,2014,グリーンエクステリア,Gardening and exterior work,64,57,51,-,89.5
令和26,2014,セキュリティサービス,Security services,60,51,34,-,66.7
令和26,2014,電気・通信工事,Electrical／telecommunications wiring,57,49,36,-,73.5
令和26,2014,印刷企画営業,Print design and marketing,42,32,24,1,78.1
令和26,2014,グラフィック印刷,Graphic printing,24,20,18,-,90
令和26,2014,ＤＴＰ,DTP,59,51,45,-,88.2
令和26,2014,医療事務,Medical billing,228,215,107,-,49.8
令和26,2014,貿易実務,International trade documentation,112,87,24,-,27.6
令和26,2014,ＯＡソフト管理,Office software management,103,81,36,3,48.1
令和26,2014,単位制パソコン,Computer operations (flexible course),133,120,43,1,36.7
令和26,2014,ネットワーク構築,Network construction,57,48,9,-,18.8
令和26,2014,配管,Plumbing,23,22,20,-,90.9
令和26,2014,流通ビジネス,Retail sales,58,43,14,-,32.6
令和26,2014,ファッションリテール,Fashion retail,21,12,11,-,91.7
令和26,2014,調理,Cooking,60,54,44,1,83.3
令和26,2014,介護サービス,Nursing care,298,300,285,-,95
令和26,2014,ビルクリーニング管理,Building custodial services,40,31,29,-,93.5
令和26,2014,ビルクリーニング管理（高年齢者向）,Building custodial services (for elderly people),34,31,30,-,96.8
令和26,2014,福祉調理,Cooking for welfare institutions,57,44,31,1,72.7
令和26,2014,福祉用具,Assistive equipment,29,24,20,-,83.3
令和26,2014,マンション改修施工,Condominium renovation,44,31,27,1,90.3
令和26,2014,造園土木施工,Gardening and landscape construction,39,37,34,1,94.6
令和26,2014,三次元ＣＡＤ,3D CAD,106,94,56,1,60.6
令和26,2014,マンション維持管理,Condominium maintenance and management,60,55,43,2,81.8
令和26,2014,パソコン実践,Computer operations,333,329,117,2,36.2
令和26,2014,インテリアリフォーム,Interior renovation,56,55,26,7,60
令和26,2014,ビル管理,Building management,171,156,104,-,66.7
令和26,2014,電気設備管理,Electrical facility management,47,60,34,-,56.7
令和26,2014,電気設備管理（高年齢者向）,Electrical facility management (for elderly people),72,68,59,1,88.2
令和26,2014,電気設備保全,Electrical facility maintenance,50,43,30,-,69.8
令和26,2014,経営管理実務,Business management,104,93,28,2,32.3
令和26,2014,ビジネス経理,Business accounting,59,50,15,-,30
令和26,2014,庭園施工管理,Gardening,59,57,33,23,98.2
令和26,2014,ホテル・レストランサービス,Hotel and restaurant services,51,43,35,1,83.7
令和26,2014,設備保全,Facility maintenance,46,43,29,1,69.8
令和26,2014,板金溶接,Sheet metal welding,13,12,8,-,66.7
令和26,2014,施設警備,Security services for facilities,30,28,24,-,85.7
令和26,2014,自動車運転（足立）,Vehicle driving (Adachi),-,-,-,-,-
,,,,,,,,
7-2  都立職業能力開発センター(職業訓練校)修了者就職状況 (平成25，26年度) ,,,,,,,,
PLACEMENT OF TRAINEES OF ＴMG VOCATIONAL SKILLS DEVELOPMENT CENTER ,,,,,,,,
( VOCATIONAL TRAINING FACILITIES ) ( Fiscal Years 2013 and 2014 ) ,,,,,,,,
この表の数字には， 2ケ月以下の訓練，障害者訓練，高年齢者向け夜間訓練及び受託訓練を含まない。 ,,,,,,,,
Figures do not include training courses of two months or less those for the disabled night courses for the elderly or courses commissioned by others. ,,,,,,,,
資料：都産業労働局雇用就業部能力開発課,,,,,,,,
Source: Bureau of Industrial and Labor Affairs， TMG,,,,,,,,
