年度,Fiscal year,系統,Line,旅客営業キロ Passenger rail length(km),駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets
平成22,2010,総数,Total,185.1,172,17473565,11046524,6427041
平成23,2011,総数,Total,185.1,172,17332492,11036922,6295570
平成24,2012,総数,Total,185.1,172,17851220,11290068,6561152
平成25,2013,総数,Total,185.1,172,18693047,11808378,6884669
平成26,2014,総数,Total,185.1,172,18970658,11975295,6995363
平成26,2014,銀座線,Ginza Line,14.3,19,1373703,680475,693228
平成26,2014,丸ノ内線,Marunouchi Line,27.4,28,2219695,1296503,923192
平成26,2014,日比谷線,Hibiya Line,20.3,21,2223678,1349988,873690
平成26,2014,東西線,Tozai Line,22.2,17,3419997,2307980,1112017
平成26,2014,千代田線,Chiyoda Line,24,20,3044471,2083200,961271
平成26,2014,有楽町線,Yurakucho Line,26.9,23,2687725,1785790,901935
平成26,2014,半蔵門線,Hanzomon Line,16.8,14,1796175,1050914,745261
平成26,2014,南北線 ,Namboku Line,21.3,19,1109007,733386,375621
平成26,2014,副都心線,Fukutoshin Line,11.9,11,1096207,687059,409148
,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 ) 4　運輸 4　TRANSPORT ,,,,,,,,
4-14  地下鉄の運輸成績 (1)  東京地下鉄株式会社 (平成22～26年度）4-14 OPERATIONS OF SUBWAYS  (1)  TOKYO METRO CO.， LTD. ( Fiscal Years 2010-2014 ),,,,,,,,
資料：東京地下鉄株式会社 Source: Tokyo Metro Co.， Ltd.　,,,,,,,,
