年次,Year,区分,Classification,項番 Item number,品種,Item,総数 Total,元町港 (大島町) Motomachi Harbor (Oshima machi) ,岡田港 (大島町) Okada Harbor (Oshima machi),波浮港 (大島町) Habu Harbor   (Oshima machi),利島港 (利島村) Toshima Harbor (Toshima mura),新島港 (新島村) Niijima Harbor (Niijima mura),式根島港 (新島村) Shikinejima Harbor (Niijima mura),神津島港(神津島村) Kozushima Harbor (Kozushima mura),三池港 (三宅村) Miike Harbor (Miyake mura),御蔵島港(御蔵島村) Mikurajima Harbor (Mikurajima mura),神湊港 (八丈町) Kaminato Harbor (Hachijo machi),八重根港 (八丈町) Yaene Harbor (Hachijo machi),青ヶ島港(青ヶ島村) Aogashima Harbor (Aogashima mura) ,二見港(小笠原村)Futami Harbor(Ogasawara mura),沖港(小笠原村) Oki Harbor (Ogasawara mura) 
平成22,2010,移出 ,Leaving,,総数,Total,125545,18061,10805,5782,2402,14822,2804,3717,5802,3467,27919,1911,1416,17697,8940
平成23,2011,移出 ,Leaving,,総数,Total,135824,15675,11654,6129,2132,12828,11048,8037,5148,3179,28706,1001,1665,15842,12780
平成24,2012,移出 ,Leaving,,総数,Total,157205,16864,37560,11023,1958,16813,900,5387,5500,1414,30457,528,2616,17264,8921
平成25,2013,移出 ,Leaving,,総数,Total,156828,28095,33248,9068,1911,13720,2900,4220,6085,4850,27886,330,2086,15742,6687
平成26,2014,移出 ,Leaving,,総数,Total,154808,44155,12281,4862,1916,12970,-,9478,7861,3153,29641,310,2787,17983,7411
平成26,2014,移出 ,Leaving,1,農水産品,Agricultural and aquatic products,12577,537,1459,70,300,477,-,1806,521,43,5761,73,48,1169,313
平成26,2014,移出 ,Leaving,2,林産品,Forestry products,3679,511,43,-,-,493,-,81,33,90,1210,14,63,975,166
平成26,2014,移出 ,Leaving,3,鉱産品,Mineral products,2413,-,-,-,-,2409,-,-,-,-,-,-,-,4,-
平成26,2014,移出 ,Leaving,4,金属機械工業品,Metal and machinery products,25007,4613,533,2000,472,2924,-,3079,2082,582,2862,25,400,4272,1163
平成26,2014,移出 ,Leaving,5,化学工業品,Chemical industrial products,2085,215,18,-,52,700,-,64,15,3,766,-,105,136,11
平成26,2014,移出 ,Leaving,6,軽工業品,Light industrial products,1559,137,291,-,-,-,-,104,-,89,602,10,34,248,44
平成26,2014,移出 ,Leaving,7,雑工業品,Miscellaneous industrial products,2902,455,135,2,-,605,-,50,75,108,819,8,25,552,68
平成26,2014,移出 ,Leaving,8,特殊品,Special goods,104101,37687,9802,2790,1092,5282,-,4227,5135,1920,17601,180,2112,10627,5646
平成26,2014,移出 ,Leaving,9,分類不能のもの,Unclassifiable goods,485,-,-,-,-,80,-,67,-,318,20,-,-,-,-
平成22,2010,移入,Entering,,総数,Total,818387,115340,39470,100751,11509,117050,-,21753,89446,63778,182636,10829,1656,49683,14486
平成23,2011,移入,Entering,,総数,Total,935320,102009,35707,94807,31303,105386,-,22587,82911,79259,272244,12948,26607,55671,13881
平成24,2012,移入,Entering,,総数,Total,812402,95962,37955,68315,35319,86670,-,22498,83987,87839,187293,14243,24964,53781,13576
平成25,2013,移入,Entering,,総数,Total,643801,131000,36744,29261,23155,109766,-,15932,19223,29773,156598,5601,23894,48931,13923
平成26,2014,移入,Entering,,総数,Total,705898,142336,46735,47629,35697,78404,-,26571,64698,41970,136573,11253,19139,44175,10718
平成26,2014,移入,Entering,1,農水産品,Agricultural and aquatic products,14130,1637,1289,43,743,2662,-,786,1425,281,2753,35,47,2076,353
平成26,2014,移入,Entering,2,林産品,Forestry products,7824,542,248,63,282,2360,-,200,1514,596,855,7,443,565,149
平成26,2014,移入,Entering,3,鉱産品,Mineral products,328503,43456,21560,28996,27654,44198,-,-,39792,30818,55296,10578,12300,10432,3423
平成26,2014,移入,Entering,4,金属機械工業品,Metal and machinery products,72527,15346,2365,6329,1264,5947,-,8412,6194,1559,14121,126,1271,7715,1878
平成26,2014,移入,Entering,5,化学工業品,Chemical industrial products,142443,31789,7564,11162,2887,14468,-,10687,11311,5887,31013,130,3755,9148,2642
平成26,2014,移入,Entering,6,軽工業品,Light industrial products,25368,6536,3761,203,765,1574,-,473,407,315,8300,100,347,2270,317
平成26,2014,移入,Entering,7,雑工業品,Miscellaneous industrial products,13969,3273,852,630,314,1646,-,484,558,156,3082,33,135,2320,486
平成26,2014,移入,Entering,8,特殊品,Special goods,100490,39757,9096,203,1788,4933,-,5520,3497,2358,21137,244,838,9649,1470
平成26,2014,移入,Entering,9,分類不能のもの,Unclassifiable goods,644,-,-,-,-,616,-,9,-,-,16,-,3,-,-
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,,,,,,,
12-8  品種別出入貨物量 (島しょ港湾) (平成26年) 12-8  VOLUME OF ENTERING AND LEAVING CARGOES BY KIND OF GOODS ( HARBORS OF ISLANDS ) ( 2014 ),,,,,,,,,,,,,,,,,,,,,
資料：都港湾局港湾経営部振興課  「東京港港勢」 Source: Bureau of Port and Harbor， TMG,,,,,,,,,,,,,,,,,,,,,
（単位　トン）(In tons) ,,,,,,,,,,,,,,,,,,,,,
