年度(和暦),Fiscal year,路線と地域,District and Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets
平成26,2014,中央本線,Chuo Line,高尾,Takao,,10844,7152,3693
平成26,2014,南武線,Nambu Line,,,,42873,27393,15480
平成26,2014,南武線,Nambu Line,矢野口,Yanokuchi,,3582,2414,1168
平成26,2014,南武線,Nambu Line,稲城長沼,Inaginaganuma,,2515,1753,762
平成26,2014,南武線,Nambu Line,南多摩,Minamitama,,2447,1593,853
平成26,2014,南武線,Nambu Line,府中本町,Fuchu-hommachi,,6234,2779,3455
平成26,2014,南武線,Nambu Line,分倍河原,Bubaigawara,,14293,9330,4963
平成26,2014,南武線,Nambu Line,西府,Nishifu,,3700,2651,1049
平成26,2014,南武線,Nambu Line,谷保,Yaho,,3686,2507,1179
平成26,2014,南武線,Nambu Line,矢川,Yagawa,,2858,1888,970
平成26,2014,南武線,Nambu Line,西国立,Nishi-kunitachi,,3558,2476,1082
平成26,2014,横浜線,Yokohama Line,,,,59132,37305,21827
平成26,2014,横浜線,Yokohama Line,成瀬,Naruse,,6958,4444,2513
平成26,2014,横浜線,Yokohama Line,町田,Machida,,40231,24512,15719
平成26,2014,横浜線,Yokohama Line,相原,Aihara,,3702,2624,1078
平成26,2014,横浜線,Yokohama Line,八王子みなみ野,Hachiojiminamino,,6364,4554,1810
平成26,2014,横浜線,Yokohama Line,片倉,Katakura,,1877,1171,707
平成26,2014,青梅線,Ome Line,,,,58983,38258,20725
平成26,2014,青梅線,Ome Line,西立川,Nishi-tachikawa,,2424,1305,1119
平成26,2014,青梅線,Ome Line,東中神,Higashi-nakagami,,2543,1721,822
平成26,2014,青梅線,Ome Line,中神,Nakagami,,3859,2605,1254
平成26,2014,青梅線,Ome Line,昭島,Akishima,,9479,6089,3390
平成26,2014,青梅線,Ome Line,拝島,Haijima,,10708,6896,3812
平成26,2014,青梅線,Ome Line,牛浜,Ushihama,,1585,873,712
平成26,2014,青梅線,Ome Line,福生,Fussa,,6055,3775,2280
平成26,2014,青梅線,Ome Line,羽村,Hamura,,5017,3374,1643
平成26,2014,青梅線,Ome Line,小作,Ozaku,,6229,4296,1933
平成26,2014,青梅線,Ome Line,河辺,Kabe,,4910,3239,1672
平成26,2014,青梅線,Ome Line,東青梅,Higashi-ome,,2432,1732,700
平成26,2014,青梅線,Ome Line,青梅,Ome,,2507,1773,734
平成26,2014,青梅線,Ome Line,宮ノ平,Miyanohira,○,…,…,…
平成26,2014,青梅線,Ome Line,日向和田,Hinatawada,,326,237,89
平成26,2014,青梅線,Ome Line,石神前,Ishigamimae,○,…,…,…
平成26,2014,青梅線,Ome Line,二俣尾,Futamatao,,174,131,43
平成26,2014,青梅線,Ome Line,軍畑,Ikusabata,○,…,…,…
平成26,2014,青梅線,Ome Line,沢井,Sawai,○,…,…,…
平成26,2014,青梅線,Ome Line,御嶽,Mitake,,250,46,204
平成26,2014,青梅線,Ome Line,川井,Kawai,○,…,…,…
平成26,2014,青梅線,Ome Line,古里,Kori,,93,50,44
平成26,2014,青梅線,Ome Line,鳩ノ巣,Hatonosu,,66,21,45
平成26,2014,青梅線,Ome Line,白丸,Shiromaru,○,…,…,…
平成26,2014,青梅線,Ome Line,奥多摩,Okutama,,326,97,229
平成26,2014,五日市線,Itsukaichi Line,,,,8961,6254,2708
平成26,2014,五日市線,Itsukaichi Line,熊川,Kumagawa,,505,347,158
平成26,2014,五日市線,Itsukaichi Line,東秋留,Higashi-akiru,,1764,1257,507
平成26,2014,五日市線,Itsukaichi Line,秋川,Akigawa,,2638,1856,782
平成26,2014,五日市線,Itsukaichi Line,武蔵引田,Musashi-hikida,,1417,1035,382
平成26,2014,五日市線,Itsukaichi Line,武蔵増戸,Musashi-masuko,,960,665,295
平成26,2014,五日市線,Itsukaichi Line,武蔵五日市,Musashi-itsukaichi,,1678,1095,584
平成26,2014,武蔵野線,Musashino Line,,,,22914,15644,7270
平成26,2014,武蔵野線,Musashino Line,北府中,Kita-fuchu,,5177,4002,1175
平成26,2014,武蔵野線,Musashino Line,新小平,Shin-kodaira,,4121,2764,1357
平成26,2014,武蔵野線,Musashino Line,新秋津,Shin-akitsu,,13616,8878,4738
平成26,2014,八高線,Hachiko Line,,,,5789,4480,1309
平成26,2014,八高線,Hachiko Line,北八王子,Kita-hachioji,,3076,2520,557
平成26,2014,八高線,Hachiko Line,小宮,Komiya,,1117,794,323
平成26,2014,八高線,Hachiko Line,東福生,Higashi-fussa,○,…,…,…
平成26,2014,八高線,Hachiko Line,箱根ケ崎,Hakonegasaki,,1596,1166,430
平成26,2014,東北本線,Musashino Line,,,※,346879,183480,163398
平成26,2014,東北本線,Musashino Line,秋葉原,Akihabara,,87988,39926,48062
平成26,2014,東北本線,Musashino Line,御徒町,Okachimachi,,24639,13214,11425
平成26,2014,東北本線,Musashino Line,上野,Ueno,,66601,31840,34761
平成26,2014,東北本線,Musashino Line,鶯谷,Uguisudani,,8922,4021,4901
平成26,2014,東北本線,Musashino Line,日暮里,Nippori,,37890,20954,16936
平成26,2014,東北本線,Musashino Line,西日暮里,Nishi-nippori,,35740,22061,13679
平成26,2014,東北本線,Musashino Line,田端,Tabata,,16533,9377,7156
平成26,2014,東北本線,Musashino Line,上中里,Kami-nakazato,,2644,1675,969
平成26,2014,東北本線,Musashino Line,王子,Oji,,22205,14454,7751
平成26,2014,東北本線,Musashino Line,東十条,Higashi-jujo,,8087,5055,3032
平成26,2014,東北本線,Musashino Line,赤羽,Akabane,,32664,18930,13734
平成26,2014,東北本線,Musashino Line,尾久,Oku,,2965,1973,992
平成26,2014,山手線,Yamanote Line,,,※,990879,549187,441692
平成26,2014,山手線,Yamanote Line,大崎,Osaki,,53170,34530,18641
平成26,2014,山手線,Yamanote Line,五反田,Gotanda,,48405,28873,19532
平成26,2014,山手線,Yamanote Line,目黒,Meguro,,38874,21594,17280
平成26,2014,山手線,Yamanote Line,恵比寿,Ebisu,,49455,26133,23322
平成26,2014,山手線,Yamanote Line,渋谷,Shibuya,,135703,71637,64066
平成26,2014,山手線,Yamanote Line,原宿,Harajuku,,25830,8277,17553
平成26,2014,山手線,Yamanote Line,新宿,Shinjuku,,273078,144885,128192
平成26,2014,山手線,Yamanote Line,新大久保,Shin-okubo,,14532,6158,8374
平成26,2014,山手線,Yamanote Line,高田馬場,Takadanobaba,,73071,44927,28145
平成26,2014,山手線,Yamanote Line,目白,Mejiro,,13575,8408,5166
平成26,2014,山手線,Yamanote Line,池袋,Ikebukuro,,200569,116263,84306
平成26,2014,山手線,Yamanote Line,大塚,Otsuka,,19710,10760,8951
平成26,2014,山手線,Yamanote Line,巣鴨,Sugamo,,27668,16489,11179
平成26,2014,山手線,Yamanote Line,駒込,Komagome,,17239,10254,6986
平成26,2014,埼京線,Saikyo Line,,,※,38438,25613,12826
平成26,2014,埼京線,Saikyo Line,板橋,Itabashi,,11710,7082,4628
平成26,2014,埼京線,Saikyo Line,十条,Jujo,,12834,8931,3903
平成26,2014,埼京線,Saikyo Line,北赤羽,Kita-akabane,,6390,4465,1925
平成26,2014,埼京線,Saikyo Line,浮間舟渡,Ukimafunado,,7504,5135,2370
平成26,2014,常磐線,Joban Line,,,※,120815,85914,34901
平成26,2014,常磐線,Joban Line,三河島,Mikawashima,,3786,2571,1215
平成26,2014,常磐線,Joban Line,南千住,Minami-senju,,5804,3818,1986
平成26,2014,常磐線,Joban Line,北千住,Kita-senju,,73882,54731,19151
平成26,2014,常磐線,Joban Line,綾瀬,Ayase,,5365,3601,1764
平成26,2014,常磐線,Joban Line,亀有,Kameari,,14646,9478,5167
平成26,2014,常磐線,Joban Line,金町,Kanamachi,,17332,11714,5618
平成26,2014,総武線,Sobu Line,,,※,168162,105630,62532
平成26,2014,総武線,Sobu Line,両国,Ryogoku,,13802,8209,5593
平成26,2014,総武線,Sobu Line,浅草橋,Asakusabashi,,19503,11901,7602
平成26,2014,総武線,Sobu Line,新日本橋,Shin-nihombashi,,6526,4669,1857
平成26,2014,総武線,Sobu Line,馬喰町,Bakurocho,,8959,6204,2755
平成26,2014,総武線,Sobu Line,錦糸町,Kinshicho,,37795,20896,16899
平成26,2014,総武線,Sobu Line,亀戸,Kameido,,20683,13217,7466
平成26,2014,総武線,Sobu Line,平井,Hirai,,11477,7710,3768
平成26,2014,総武線,Sobu Line,新小岩,Shin-koiwa,,26334,17763,8571
平成26,2014,総武線,Sobu Line,小岩,Koiwa,,23083,15061,8021
平成26,2014,京葉線,Keiyo Line,,,※,48336,29251,19085
平成26,2014,京葉線,Keiyo Line,八丁堀,Hatchobori,,11332,6812,4521
平成26,2014,京葉線,Keiyo Line,越中島,Etchujima,,1725,1126,599
平成26,2014,京葉線,Keiyo Line,潮見,Shiomi,,4420,2962,1458
平成26,2014,京葉線,Keiyo Line,新木場,Shin-kiba,,26175,15805,10370
平成26,2014,京葉線,Keiyo Line,葛西臨海公園,Kasairinkaikoen,,4683,2546,2137
,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 ) 4　運輸 4　TRANSPORT,,,,,,,,,
4-8　JRの駅別乗車人員 (平成22～26年度) ,,,,,,,,,
各駅はJRの基準により配列した。 また J R 内の乗り継ぎを除く。 乗り換え駅は主線に載せた。 ,,,,,,,,,
（単位　千人） ,,,,,,,,,
　　注 1) ※印は区部にある駅 （線） を示す。 ,,,,,,,,,
　　　  2) ○印の駅は無人駅のため，資料元において非公開としているので各々の計にも含まない。 ,,,,,,,,,
　　資料：東日本旅客鉄道㈱東京支社総務部企画室 ,,,,,,,,,
4-8  NUMBER OF PASSENGERS ON EAST JAPAN RAILWAY COMPANY TRAINS ,,,,,,,,,
BY STATION ( Fiscal Years 2010～2014 ) ,,,,,,,,,
Stations are listed according to JR standards. Figures exclude transfers between JR lines. Transit stations are listed under their main line. ,,,,,,,,,
(In thousands) ,,,,,,,,,
　　Note: 1) Lines and stations marked with  a ※ refer to those located in the ku area. ,,,,,,,,,
2) The source is not publicizing figures for stations marked with a ○ because they are unmanned stations. ,,,,,,,,,
　　Source: East Japan Railway Company ,,,,,,,,,
