年次,Year,月次 ,Month,立会日数 Trading days,上場会社数 (年・月末) Number of listed companies (End of y.& m.),時価総額 (年・月末）(百万円) Market Capitalization (End of y.& m.) (million yen),一日平均売買株数 (千株) Daily average trading volume (thousand shares),売買回転率 Turnover ratio (%),東証第二部株価指数平均 TSE Second section stock price index average,単純株価平均 (円) Arithmetic stock price average (yen),単純平均利回り Average yield (%)
平成22,2010,総数,Total,245,431,3447326,29857,57.36,2129.54,170.08,2.32
平成23,2011,総数,Total,245,431,3240483,40206,79.71,2215.57,166.84,2.29
平成24,2012,総数,Total,248,415,3227363,31063,66.09,2280.83,159.18,2.32
平成25,2013,総数,Total,245,559,5539515,90716,173.34,3153.42,191.81,1.89
平成26,2014,総数,Total,244,541,6270437,148358,248.47,3827.38,213.23,1.77
平成26,2014,1,Jan.,19,557,5696785,231185,30.24,3721.69,214.11,1.71
平成26,2014,2,Feb.,19,562,5619761,128421,16.71,3583.81,206.66,1.75
平成26,2014,3,Mar.,20,550,5391629,112555,15.36,3581.42,206.03,1.76
平成26,2014,4,Apr.,21,545,5215890,86977,12.53,3506.57,200.24,1.79
平成26,2014,5,May,20,544,5270782,81233,11.18,3437.58,197.39,1.9
平成26,2014,6,June,21,544,5603117,74648,10.8,3644.4,207.33,1.87
平成26,2014,7,July,22,543,5816720,123855,18.69,3836.93,218.22,1.77
平成26,2014,8,Aug.,21,551,6103048,149489,21.36,3935.58,215.62,1.78
平成26,2014,9,Sept.,20,542,6109394,186574,25.45,4164.81,224.49,1.72
平成26,2014,10,Oct.,22,541,5923738,184311,27.97,4009.65,217.81,1.77
平成26,2014,11,Nov.,18,543,6256315,201281,25.15,4168.02,222.47,1.72
平成26,2014,12,Dec.,21,541,6270437,229687,33.25,4330.12,228.11,1.67
,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　15  金融 15  FINANCE,,,,,,,,,,,
15-6  株式取引状況 (2) 第二部  (平成22～26年) 15-6  TRANSACTIONS OF STOCK (2) THE 2nd SECTION ( 2010-2014 ),,,,,,,,,,,
この表については， 数値の単位未満を切り捨てているため （ただし， 平均値は， 四捨五入），合計と内訳の計とが一致しない場合もある。,,,,,,,,,,,
Figures less than the unit are omitted， except that in the case of average figures a fraction of 0.5 or more is counted as a whole number and figures less than that is omitted. The total figures， therefore， may not coincide with the aggregate of subdivided figures.,,,,,,,,,,,
注 1) 単純株価平均及び単純平均利回りは全銘柄による。「東証株価指数」及び「 東証第二部株価指数」は昭和43年1月4日＝100 とする。,,,,,,,,,,,
Note: 1) Arithmetic stock price average and average yield have been on all issues. “Tokyo stock price index” and “TSE second section stock price index” ; base : Jan. 4， 1968=100,,,,,,,,,,,
資料：(株)東京証券取引所 「東証統計月報」 Source: Tokyo Stock Exchange， Inc.,,,,,,,,,,,
