年次,Year,月次 ,Month,件数 Total,件数 Total／うち法人(業種別) of which corporation (by industry)／計 Total,件数 Total／うち法人(業種別) of which corporation (by industry)／製造 Manufacturing／繊維品 Textile products,件数 Total／うち法人(業種別) of which corporation (by industry)／製造 Manufacturing／出版・印刷 Publishing and printing,件数 Total／うち法人(業種別) of which corporation (by industry)／製造 Manufacturing／金属製品 Metal products,件数 Total／うち法人(業種別) of which corporation (by industry)／製造 Manufacturing／機械 Machinary,件数 Total／うち法人(業種別) of which corporation (by industry)／製造 Manufacturing／その他 Others,件数 Total／うち法人(業種別) of which corporation (by industry)／卸売 Wholesale,件数 Total／うち法人(業種別) of which corporation (by industry)／小売 Retail,件数 Total／うち法人(業種別) of which corporation (by industry)／建設 Construction,件数 Total／うち法人(業種別) of which corporation (by industry)／サービス Services,件数 Total／うち法人(業種別) of which corporation (by industry)／不動産 Real estate,件数 Total／うち法人(業種別) of which corporation (by industry)／運輸・通信 Transportation & communications,件数 Total／うち法人(業種別) of which corporation (by industry)／その他 Others,枚数 Number,金額 Value
平成22,2010,総数,Total,882,818,15,61,32,8,108,99,133,214,77,13,48,10,2136,11430934
平成23,2011,総数,Total,665,626,15,59,28,19,89,69,72,164,69,7,27,8,1821,6260431
平成24,2012,総数,Total,569,544,9,48,25,7,84,62,86,126,50,8,33,6,1493,3686400
平成25,2013,総数,Total,460,439,11,35,15,9,76,59,63,97,44,9,20,1,1115,2507145
平成26,2014,総数,Total,382,371,3,40,12,8,58,65,61,76,22,9,17,-,971,2054754
平成26,2014,1,Jan.,38,37,-,4,-,-,2,7,6,9,6,1,2,-,105,238190
平成26,2014,2,Feb.,31,31,-,5,3,1,2,3,7,7,2,-,1,.-,45,83365
平成26,2014,3,Mar.,37,35,-,6,1,-,12,5,6,3,-,-,2,-,84,119300
平成26,2014,4,Apr.,32,32,-,3,1,-,7,3,7,7,2,2,-,-,74,81466
平成26,2014,5,May,41,41,-,2,3,-,6,5,5,14,2,-,4,-,203,768877
平成26,2014,6,June,42,39,-,4,1,3,6,7,7,6,2,2,1,-,108,142719
平成26,2014,7,July,19,19,-,3,1,-,2,6,1,4,1,-,1,-,52,33500
平成26,2014,8,Aug.,26,26,1,2,1,-,4,7,3,4,-,3,1,-,47,235494
平成26,2014,9,Sept.,36,34,-,5,-,1,8,7,4,5,1,1,2,-,65,105373
平成26,2014,10,Oct.,27,27,-,2,-,2,6,5,3,6,2,-,1,-,74,91812
平成26,2014,11,Nov.,27,25,1,2,-,1,1,4,7,6,2,-,1,-,71,81815
平成26,2014,12,Dec.,26,25,1,2,1,-,2,6,5,5,2,-,1,-,43,72843
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,
15-9  東京手形交換所扱い銀行取引停止処分数 (平成22～26年) 15-9  SUSPENSION OF TRANSACTIONS WITH THE TOKYO CLEARING HOUSE MEMBER BANKS ( 2010-2014)  ,,,,,,,,,,,,,,,,,,,
資料：全国銀行協会 「決済統計年報」，「全国手形交換高・不渡手形実数・取引停止処分数調」 Source: Japanese Bankers Association,,,,,,,,,,,,,,,,,,,
（単位  金額  千円）(Value in thousands of yen),,,,,,,,,,,,,,,,,,,
