地域階層,地域コード,項番 Item number,地域,District,農家数 Farm households／総数 Total,農家数 Farm households／自給的農家数 Non-commercial farm households,農家数 Farm households／販売農家数 Commercial farm households,農家数 Farm households／販売農家数 Commercial farm households／専業農家 Fulltime,農家数 Farm households／販売農家数 Commercial farm households／兼業農家 Parttime,農家数 Farm households／販売農家数 Commercial farm households／兼業農家 Parttime／第1種 Mainly farming,農家数 Farm households／販売農家数 Commercial farm households／兼業農家 Parttime／第2種 Mainly other jobs,農家人口（販売農家） Farm Population(commercial)／総数 Total,農家人口（販売農家） Farm Population(commercial)／主に仕事 Mainly engaged in work／自営農業が主の人 a),農家人口（販売農家） Farm Population(commercial)／主に仕事 Mainly engaged in work／勤務が主の人 b),農家人口（販売農家） Farm Population(commercial)／主に仕事 Mainly engaged in work／農業以外の自営業が主の人 c),農家人口（販売農家） Farm Population(commercial)／主に家事・育児 が主の人 d),農家人口（販売農家） Farm Population(commercial)／その他 1) Others,経営耕地面積(農業経営体） Managed cultivated land area／田 Paddy-fields／経営体数 Number of management entities,経営耕地面積(農業経営体） Managed cultivated land area／田 Paddy-fields／面積 Planted area,経営耕地面積(農業経営体） Managed cultivated land area／畑 Fields／経営体数 Number of management entities,経営耕地面積(農業経営体） Managed cultivated land area／畑 Fields／面積 Planted area,経営耕地面積(農業経営体） Managed cultivated land area／樹園地 Orchards／経営体数 Number of management entities,経営耕地面積(農業経営体） Managed cultivated land area／樹園地 Orchards／面積 Planted area
0,13000,,総数,Tokyo-to,13099,6287,6812,2251,4561,1077,3484,27224,10689,4383,1169,3711,7272,942,29616,6732,333323,3495,142543
1,13100,,区部,All ku          　,1767,703,1064,299,765,206,559,4690,2002,680,213,596,1199,114,8386,1106,45076,337,9422
2,13101,1,千代田区,Chiyoda-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13102,2,中央区,Chuo-ku,2,2,-,-,-,-,-,-,-,-,-,-,-,x,x,x,x,x,x
2,13103,3,港区,Minato-ku,1,-,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2,13104,4,新宿区,Shinjuku-ku,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13105,5,文京区,Bunkyo-ku,1,-,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2,13106,6,台東区,Taito-ku,1,1,-,-,-,-,-,-,-,-,-,-,-,x,x,x,x,x,x
2,13107,7,墨田区,Sumida-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13108,8,江東区,Koto-ku,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13109,9,品川区,Shinagawa-ku,1,1,-,-,-,-,-,-,-,-,-,-,-,x,x,x,x,x,x
2,13110,10,目黒区,Meguro-ku,13,5,8,2,6,2,4,29,10,4,2,5,8,-,-,7,159,4,81
