年次,Year,地域階層,地域コード,項番 Item number,地域,District,木造家屋 Wooden buildings／総数 Total／棟数 Number,木造家屋 Wooden buildings／総数 Total／床面積 Floor space (m2)　,木造家屋 Wooden buildings／専用住宅 Exclusive dwellings／棟数 Number,木造家屋 Wooden buildings／専用住宅 Exclusive dwellings／床面積 Floor space  (m2),木造家屋 Wooden buildings／併用住宅 Multi-use dwellings／棟数 Number,木造家屋 Wooden buildings／併用住宅 Multi-use dwellings／床面積 Floor space (m2),木造家屋 Wooden buildings／アパート Apartment houses／棟数 Number,木造家屋 Wooden buildings／アパート Apartment houses／床面積 Floor space (m2),木造家屋 Wooden buildings／その他 Others／棟数 Number,木造家屋 Wooden buildings／その他 Others／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／総数 Total／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／総数 Total／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／事務所，店舗，百貨店，銀行 Offices， stores， department stores， ｂanks 1)／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／事務所，店舗，百貨店，銀行 Offices， stores， department stores， ｂanks ／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／事務所，店舗，百貨店，銀行 Offices， stores， department stores， ｂanks 1)／うち銀行 Of which bａｎｋｓ／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／事務所，店舗，百貨店，銀行 Offices， stores， department stores， ｂanks 1)／うち銀行 Of which bａｎｋｓ／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／住宅，アパート Houses， apartment houses／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／住宅，アパート Houses， apartment houses／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／病院，ホテルHospitals， hotels／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／病院，ホテルHospitals， hotels／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／工場，倉庫，市場 Factories， storehouses， markets／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／工場，倉庫，市場 Factories， storehouses， markets／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／劇場，娯楽場等，その他 Theaters， places of amusement， etc. ／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／劇場，娯楽場等，その他 Theaters， places of amusement， etc.／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／劇場，娯楽場等，その他 Theaters， places of amusement， etc. ／うち劇場，娯楽場等　Of which Theaters and places of amusement／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／劇場，娯楽場等，その他 Theaters， places of amusement， etc.／うち劇場，娯楽場等　Of which Theaters and places of amusement／床面積 Floor space (m2),構造別非木造家屋 Non-wooden buildings by structure／鉄骨鉄筋コンクリート造 Steel reinforced concrete／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／鉄骨鉄筋コンクリート造 Steel reinforced concrete／床面積 Floor space (m2),構造別非木造家屋 Non-wooden buildings by structure／鉄筋コンクリート造 Reinforced concrete／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／鉄筋コンクリート造 Reinforced concrete／床面積 Floor space (m2),構造別非木造家屋 Non-wooden buildings by structure／鉄骨造 Steel-frame／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／鉄骨造 Steel-frame／床面積 Floor space (m2) ,構造別非木造家屋 Non-wooden buildings by structure／軽量鉄骨造 Light gauge steel／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／軽量鉄骨造 Light gauge steel／床面積 Floor space (m2),構造別非木造家屋 Non-wooden buildings by structure／れんが造，コンクリートブロック造等 Brick， concrete-block， etc.／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／れんが造，コンクリートブロック造等 Brick， concrete-block， etc.／床面積 Floor space (m2),構造別非木造家屋 Non-wooden buildings by structure／その他 Others／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／その他 Others／床面積 Floor space (m2)
平成23,2011,0,13000,,東京都,Tokyo-to,1903752,192665220,1493636,141885662,109416,16226711,192658,28223797,108042,6329050,808696,463304296,82374,128354472,…,…,616176,278526356,4295,10493127,77282,42650805,28569,3279536,…,…,30428,137944417,282845,192206954,268245,103864524,201848,27992713,24820,1277630,510,18058
平成24,2012,0,13000,,東京都,Tokyo-to,1910885,193754318,1507612,143598675,106471,15841154,190907,28127243,105895,6187246,811874,468515763,81605,129471731,…,…,621462,282739159,4296,10625718,75900,42389885,28611,3289270,…,…,30391,138530636,284306,195186718,268205,105050496,204153,28479552,24301,1250659,518,17702
平成25,2013,0,13000,,東京都,Tokyo-to,1916667,194744920,1520493,145214539,103534,15462688,189044,28023334,103596,6044359,815963,472767703,81437,130171217,…,…,626484,286596149,4289,10671630,75142,42076938,28611,3251769,…,…,30289,137986002,285650,198457596,268859,106161236,206841,28930304,23806,1215557,518,17008
平成26,2014,0,13000,,東京都,Tokyo-to,1922003,195616120.9,1533279,146747743.4,100278,15049213.92,187149,27911084.03,101297,5908079.59,819797,477175412.5,81687,130883244.7,…,…,630883,290618284.9,4296,10685201.35,74615,41692135.2,28316,3296546.38,…,…,30018,138265407.5,286931,201339948.7,269482,106953971,209674,29433512.62,23153,1165368.78,539,17204
平成27,2015,0,13000,,東京都,Tokyo-to,1928585,196895789,1550077,148917515,98010,14790439,185777,27901685,94721,5286150,820605,482410153,80947,131806002,…,…,634884,294845738,4276,10825473,73573,41733091,26925,3199849,…,…,29812,138232511,286188,204857757,269846,108225233,211888,29939509,22467,1138082,404,17061
平成27,2015,1,13100,,区部,All ku,1113411,114458611,863421,80021884,69978,11579602,142493,20200775,37519,2656350,594089,381313481,56847,111521143,636,992655,487307,232053800,2847,8473510,40845,28472851,6243,792177,200,618249,26826,124740940,220419,156956344,216506,81790695,117495,17227598,12843,597904,-,-
平成27,2015,2,13101,1,千代田区,Chiyoda-ku,1834,165129,702,50863,422,56315,18,2164,692,55787,8569,23043784,4613,17469693,12,62231,3250,3842300,83,947270,546,755650,77,28871,9,26532,1993,14257691,3464,4126129,2721,4620403,238,26962,153,12599,-,-
平成27,2015,2,13102,2,中央区,Chuo-ku,4467,379166,2777,176226,1026,140359,110,9990,554,52591,10577,21526798,5340,13887581,22,179419,4616,6312429,105,434871,476,891162,40,755,-,-,2472,12169938,3746,5748454,3961,3558351,290,39299,108,10756,-,-
平成27,2015,2,13103,3,港区,Minato-ku,8481,898818,6087,600674,791,121129,850,117589,753,59426,16258,35667982,4993,19109223,16,47660,10188,13862762,154,1518926,708,1096341,215,80730,12,76592,2584,18660716,8408,11318485,4006,5529980,976,135832,284,22969,-,-
平成27,2015,2,13104,4,新宿区,Shinjuku-ku,26406,2712376,18626,1717465,1741,287637,5019,635773,1020,71501,22430,22490174,3745,9428016,18,31901,17401,11478490,250,861016,858,689454,176,33198,10,30207,1670,10382860,11135,9066980,6379,2602202,2776,405243,470,32889,-,-
平成27,2015,2,13105,5,文京区,Bunkyo-ku,19344,2028614,15078,1447046,1527,244654,2183,287257,556,49657,14900,10432240,1362,2521843,14,19385,12849,7207473,67,254642,513,327110,109,121172,6,115353,974,4145308,6386,4388042,5346,1591741,1905,284163,289,22986,-,-
平成27,2015,2,13106,6,台東区,Taito-ku,16527,1599557,9720,721324,4337,648581,930,109541,1540,120111,19836,11746943,2986,3240129,25,42576,15391,7446304,345,449345,1042,601874,72,9291,16,8161,1369,3794271,6146,4705020,10850,3086883,1126,128810,345,31959,-,-
平成27,2015,2,13107,7,墨田区,Sumida-ku,26106,2299716,18400,1349879,4313,642975,1509,171916,1884,134946,19597,11096349,1388,2025841,35,45453,15887,7928392,84,141511,2118,958163,120,42442,4,39044,698,3194064,3815,3934463,12160,3605981,2601,342830,323,19011,-,-
平成27,2015,2,13108,8,江東区,Koto-ku,26101,2298838,19501,1511281,3030,450318,1982,230297,1588,106942,29647,27099147,2134,6447585,21,34254,23830,15020810,75,372660,3142,5226266,466,31826,7,13633,2358,9895741,7204,9236733,17057,7653698,2452,298127,576,14848,-,-
平成27,2015,2,13109,9,品川区,Shinagawa-ku,40137,3956281,29660,2573361,3374,546045,5915,749765,1188,87110,21107,18564928,1938,5976265,30,38768,17238,10231876,102,391659,1569,1950463,260,14665,6,8261,984,7066831,8199,7394347,7641,3536288,3791,546631,492,20831,-,-
