品目階層,品目,Item,平成24年 2012／数量 Quantity,平成24年 2012／金額 Value,平成25年 2013／数量 Quantity,平成25年 2013／金額 Value,平成26年 2014／数量 Quantity,平成26年 2014／金額 Value
0,総数,Total,523547,444191585,514829,448946144,479424,462273130
1,鮮魚,Fresh fish,164881,136589791,163534,139688662,160043,148839648
2,まぐろ類,Tuna,11253,20900922,9869,20012341,10305,21638740
2,かじき類,Swordfish,1462,1944165,1282,1767647,1274,1860798
2,かつお類,Skipjack,9412,5685146,11267,6110026,8291,5383901
2,ぶり類,Yellowtail,32886,17888407,33873,18359073,30890,19378734
2,あじ類,Horse mackerel,17032,9108317,17457,9082665,16094,9488284
2,さわら類,King mackerel,1550,1632961,1791,1710957,2015,2055310
2,いわし類,Sardine,6143,2038747,7328,2421894,6904,2695468
2,いか類,Squid,12899,6857640,11940,6839412,10679,6584973
2,かれい類,Flounder,3570,2523224,3501,2463341,3707,2686579
2,たい類,Sea bream,10793,12079839,10999,12258291,12083,12449451
2,めぬけ類,Rock fish,841,1552985,888,1641726,859,1639692
2,さめ類,Shark,384,167351,399,154956,478,180004
2,さけ・ます類,Salmon and trout,8143,6502618,7162,7167583,7555,9203887
2,たら類,Cod,5550,3631426,5552,3368037,5698,3982265
2,えび類,Shrimp and lobster,2056,4945710,1986,5374540,1778,5684564
2,かに類,Crab,1818,3219474,1607,3192018,1531,3301230
2,あなご類,Conger eel,275,404669,280,444248,282,461164
2,ふぐ類,Puffer,712,2175844,669,1987067,690,1981197
2,その他鮮魚類,Other fresh fish,38104,33330347,35683,35332840,38932,38183406
1,活魚類,Live fish ,15799,18971827,14513,18829006,15125,19696176
1,貝類,Shellfish,31254,31292288,31369,33034610,30638,35465464
2,生鮮貝類,Fresh shellfish,26366,25455400,26190,26158085,26330,28000543
2,冷凍貝類,Frozen shellfish,4888,5836888,5179,6876525,4308,7464921
1,冷凍魚,Frozen fish,127616,116814535,129573,122135033,107212,121878707
2,冷まぐろ類,Frozen tuna,35127,47672532,36837,46363212,33157,46701219
2,冷かじき類,Frozen swordfish,2137,2010886,2348,1926649,2184,1987090
2,冷いか類,Frozen squid,8338,4615142,7408,4422995,7986,4872888
2,冷かれい類,Frozen flounder,6172,4386681,5427,3819242,4361,3399516
2,冷たい類,Frozen sea bream,169,155471,130,144932,69,112357
2,冷さめ類,Frozen shark,5,2173,3,1454,2,793
2,冷さけ・ます類,Frozen salmon and trout,35442,16478174,34818,21095745,24464,20788093
2,冷えび類,Frozen shrimp and lobster,11946,13749171,11599,16441500,9537,15937886
2,冷かに類,Frozen crab,2975,5540155,2749,5061868,2255,5342635
2,その他冷凍魚類,Other frozen fish,25305,22204149,28253,22857434,23197,22736231
1,淡水魚,Freshwater fish,1431,2321408,1476,2436214,1359,2419654
2,生鮮淡水魚類,Fresh freshwater fish,1315,2224738,1360,2346768,1261,2332157
2,冷凍淡水魚類,Frozen freshwater fish,116,96670,116,89446,98,87497
1,海そう類,Seaweed,7436,3506054,7470,3476137,6858,3351496
1,加工品,Processed foods,175131,134695682,166895,129346482,158190,130621984
2,塩蔵品類,Salted,22613,29808411,22291,29173963,20026,28649888
2,塩干品類,Salted and dried,26908,14433631,25733,14094308,25110,14570323
2,煮干製品類,Boiled and dried,12308,13948430,12459,11497181,11647,12309864
2,練製品類,"""Surimi""",25929,14358420,25621,13755972,22995,13244737
2,その他,Others,87373,62146790,80791,60825058,78412,61847173
,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,,,,
10-2  品目別水産物の入荷数量 （平成24～26年） 10-2 RECEIVED FISHERY PRODUCTS BY ITEM（ 2012-2014 ）,,,,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,,,,
品目階層(0:総数　1:鮮魚・活魚類・貝類・冷凍魚・淡水魚・海そう類・加工品　2:水産物種類別　3:品目),,,,,,,,
（単位　数量　トン， 金額　千円） (Quantity in tons， Value in thousands of yen)  ,,,,,,,,
