地域階層,地域コード,地域,District,農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／総数 Total(万円 In ten thousands of yen),農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／販売なし Not for sale(万円 In ten thousands of yen),農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／50未満 less than 50(万円 In ten thousands of yen),農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／50～100未満 less than 50～100(万円 In ten thousands of yen),農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／100～200未満 less than 100～200(万円 In ten thousands of yen),農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／200～300未満 less than 200～300(万円 In ten thousands of yen),農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／300～500未満 less than 300～500(万円 In ten thousands of yen),農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／500～700未満 less than 500～700(万円 In ten thousands of yen),農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／700～1000未満 less than 700～1000(万円 In ten thousands of yen),農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／1000～1500未満 less than 1000～1500(万円 In ten thousands of yen),農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／1500～以上 1500 and over(万円 In ten thousands of yen)
0,13000,総数,Tokyo-to,7455,1043,1702,1207,1095,685,730,340,307,162,184
1,13100,区部,All ku          　,1197,84,214,260,229,113,119,57,64,25,32
2,13101,千代田区,Chiyoda-ku,-,-,-,-,-,-,-,-,-,-,-
2,13102,中央区,Chuo-ku,2,x,x,x,x,x,x,x,x,x,x
2,13103,港区,Minato-ku,1,x,x,x,x,x,x,x,x,x,x
2,13104,新宿区,Shinjuku-ku,-,-,-,-,-,-,-,-,-,-,-
2,13105,文京区,Bunkyo-ku,1,x,x,x,x,x,x,x,x,x,x
2,13106,台東区,Taito-ku,1,x,x,x,x,x,x,x,x,x,x
2,13107,墨田区,Sumida-ku,-,-,-,-,-,-,-,-,-,-,-
2,13108,江東区,Koto-ku,-,-,-,-,-,-,-,-,-,-,-
2,13109,品川区,Shinagawa-ku,1,x,x,x,x,x,x,x,x,x,x
2,13110,目黒区,Meguro-ku,9,-,1,4,2,1,1,-,-,-,-
2,13111,大田区,Ota-ku,9,-,1,2,1,1,1,-,-,1,2
2,13112,世田谷区,Setagaya-ku,251,12,44,64,63,26,27,3,7,1,4
2,13113,渋谷区,Shibuya-ku,-,-,-,-,-,-,-,-,-,-,-
2,13114,中野区,Nakano-ku,10,1,3,1,2,-,-,1,-,1,1
2,13115,杉並区,Suginami-ku,79,4,22,13,22,5,5,3,3,-,2
2,13116,豊島区,Toshima-ku,1,x,x,x,x,x,x,x,x,x,x
2,13117,北区,Kita-ku,-,-,-,-,-,-,-,-,-,-,-
2,13118,荒川区,Arakawa-ku,-,-,-,-,-,-,-,-,-,-,-
2,13119,板橋区,Itabashi-ku,44,3,9,16,9,4,1,-,-,1,1
2,13120,練馬区,Nerima-ku,399,37,87,86,64,31,36,25,17,9,7
2,13121,足立区,Adachi-ku,128,7,22,30,22,13,12,4,10,3,5
2,13122,葛飾区,Katsushika-ku,97,3,7,22,17,13,16,7,8,4,-
2,13123,江戸川区,Edogawa-ku,164,16,16,22,27,19,20,13,19,5,7
1,13200,市部,All shi,5160,726,1279,750,707,477,522,247,204,122,126
2,13201,八王子市,Hachioji-shi,498,99,144,58,54,29,42,18,23,11,20
2,13202,立川市,Tachikawa-shi,285,28,64,34,40,32,34,10,17,9,17
2,13203,武蔵野市,Musashino-shi,70,1,13,16,10,12,10,6,2,-,-
2,13204,三鷹市,Mitaka-shi,236,15,40,44,50,32,25,11,12,5,2
2,13205,青梅市,Ome-shi,294,94,77,32,22,16,20,10,11,8,4
2,13206,府中市,Fuchu-shi,195,15,30,27,36,25,26,16,8,9,3
2,13207,昭島市,Akishima-shi,89,15,22,13,13,11,5,1,5,1,3
2,13208,調布市,Chofu-shi,203,7,48,31,32,17,28,16,11,10,3
2,13209,町田市,Machida-shi,537,132,189,62,63,32,25,8,8,2,16
2,13210,小金井市,Koganei-shi,115,6,27,29,22,10,10,3,6,2,-
2,13211,小平市,Kodaira-shi,286,23,65,53,45,30,28,18,11,6,7
2,13212,日野市,Hino-shi,180,26,35,27,27,17,26,7,8,5,2
2,13213,東村山市,Higashimurayama-shi,249,20,76,50,29,28,21,8,8,4,5
2,13214,国分寺市,Kokubunji-shi,188,22,35,27,32,15,31,9,8,3,6
2,13215,国立市,Kunitachi-shi,84,17,20,11,13,10,8,3,2,-,-
2,13218,福生市,Fussa-shi,20,4,5,4,3,2,2,-,-,-,-
2,13219,狛江市,Komae-shi,64,1,8,11,12,13,12,2,1,2,2
2,13220,東大和市,Higashiyamato-shi,108,17,30,20,19,10,9,3,-,-,-
2,13221,清瀬市,Kiyose-shi,215,9,43,26,23,23,37,25,13,7,9
