年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,議会費 Assemblies,総務費 General services,民生費 Social welfare,衛生費 Sanitation,労働費 Labor,農林水産業費 Agriculture， forestry and fisheries,商工費 Commerce and industry,土木費 Civil engineering works,消防費 Fire fighting,教育費 Education,災害復旧費 Disaster restoration,公債費 Debt services,諸支出金 Miscellaneous
平成24,2012,13200,,市部,All shi,1398647,10742,157423,635892,118661,8315,2954,9026,135863,52144,170022,26,93079,4501
平成25,2013,13200,,市部,All shi,1399474,10347,163153,655304,112921,6476,2793,8804,138541,50508,158372,49,92040,164
平成26,2014,13200,,市部,All shi,1457790,10505,170308,690236,117303,6433,3535,9100,140142,52327,166955,271,90264,410
平成26,2014,13201,1,八王子市,Hachioji-shi,192112,724,16868,96534,16620,536,394,2312,19299,6688,18934,-,13203,-
平成26,2014,13202,2,立川市,Tachikawa-shi,75983,473,7808,34819,5489,545,167,365,8631,2253,11003,-,4430,-
平成26,2014,13203,3,武蔵野市,Musashino-shi,61750,436,8960,23950,6787,240,63,397,8701,1986,7822,-,2407,-
平成26,2014,13204,4,三鷹市,Mitaka-shi,66131,527,10016,31684,3564,181,171,320,5372,2162,7517,-,4207,410
平成26,2014,13205,5,青梅市,Ome-shi,47455,417,5581,22915,4476,11,251,367,3600,1729,4895,198,3015,-
平成26,2014,13206,6,府中市,Fuchu-shi,92761,514,12200,44446,6645,516,136,402,9236,3083,10776,-,4807,-
平成26,2014,13207,7,昭島市,Akishima-shi,43355,368,4784,19844,3249,383,56,189,5400,1493,5044,-,2545,-
平成26,2014,13208,8,調布市,Chofu-shi,80865,503,11053,37704,4911,242,96,293,10610,2645,8514,-,4293,-
平成26,2014,13209,9,町田市,Machida-shi,139362,697,16523,68162,12747,343,270,858,10763,5175,17791,-,6034,-
平成26,2014,13210,10,小金井市,Koganei-shi,36458,375,4203,16413,4017,416,46,163,2875,1500,3512,-,2939,-
平成26,2014,13211,11,小平市,Kodaira-shi,60139,470,7290,29597,4736,188,88,168,3960,2294,7356,13,3979,-
平成26,2014,13212,12,日野市,Hino-shi,60887,418,7832,27793,5073,250,199,420,7301,2447,5664,4,3487,-
平成26,2014,13213,13,東村山市,Higashimurayama-shi,54689,357,5834,26173,4025,404,96,110,5996,1758,5883,-,4052,-
平成26,2014,13214,14,国分寺市,Kokubunji-shi,39576,353,4114,17190,3527,185,85,81,5153,1574,4613,4,2696,-
平成26,2014,13215,15,国立市,Kunitachi-shi,28443,323,3117,12886,1828,194,105,231,3629,1048,3537,-,1545,-
平成26,2014,13218,16,福生市,Fussa-shi,22425,299,3156,10601,2155,171,52,179,1397,919,2481,-,1013,-
平成26,2014,13219,17,狛江市,Komae-shi,26041,326,3539,12274,1854,84,33,89,1535,1164,2769,-,2373,-
平成26,2014,13220,18,東大和市,Higashiyamato-shi,29252,320,3686,15710,2169,43,55,105,1554,1092,2863,4,1648,-
平成26,2014,13221,19,清瀬市,Kiyose-shi,29146,267,3445,15683,1757,108,167,72,1281,1030,3213,0,2122,-
平成26,2014,13222,20,東久留米市,Higashikurume-shi,37602,324,3896,18797,2887,215,92,112,3049,1693,3689,-,2850,-
平成26,2014,13223,21,武蔵村山市,Musashimurayama-shi,27866,283,2999,14704,1767,63,49,180,2498,1078,2970,-,1274,-
平成26,2014,13224,22,多摩市,Tama-shi,50933,388,7636,24311,3886,298,61,545,3095,1844,6411,-,2459,-
平成26,2014,13225,23,稲城市,Inagi-shi,36288,323,2759,12646,3088,119,82,145,4934,1480,8671,-,2041,-
平成26,2014,13227,24,羽村市,Hamura-shi,21313,268,3186,9920,1972,139,47,272,1422,805,2048,-,1235,-
平成26,2014,13228,25,あきる野市,Akiruno-shi,29861,290,2947,12327,2926,181,547,359,3966,1054,2469,48,2745,-
平成26,2014,13229,26,西東京市,Nishitokyo-shi,67100,461,6876,33153,5146,378,126,364,4884,2333,6512,-,6866,-
平成24,2012,13300,,郡部,All gun,31153,504,4786,9291,3324,443,1222,687,4295,1458,3583,42,1518,0
平成25,2013,13300,,郡部,All gun,31823,490,5426,9303,2946,331,1186,1024,3798,1266,4466,73,1514,0
平成26,2014,13300,,郡部,All gun,32660,487,4572,9961,2891,333,1508,1406,3934,1366,4564,178,1459,-
