地域階層,地域コード,地域,District,昼間人口Daytime population,夜間人口Nighttime population,(A) 流入超過人口 Net inflow of population／計Total (=B-C),(A) 流入超過人口 Net inflow of population／通勤者Commuters (=B-C),(A) 流入超過人口 Net inflow of population／通学者Pupils and students (=B-C),(B) 流入人口 Population inflow／計Total,(B) 流入人口 Population inflow／通勤者Commuters,(B) 流入人口 Population inflow／通学者Pupils and students,(C) 流出人口 Population outflow／計Total,(C) 流出人口 Population outflow／通勤者Commuters,(C) 流出人口 Population outflow／通学者Pupils and students,面積 Area　(km2) 2),昼間人口密度（1km2につき）  Daytime population density ( per sq. km ),昼夜間人口比率 Ratio of daytime population to nighttime population 3)
0,13000,総数,Tokyo-to,15576130,13159388,2416725,2161589,255136,2891112,2565128,325984,474387,403539,70848,2177.89,7152,118.4
1,13100,区部,All ku          　,11711537,8945695,2765822,2529381,236441,3169416,2853224,316192,403594,323843,79751,617.03,18981,130.9
2,13101,千代田区,Chiyoda-ku,819247,47115,772131,700942,71189,782559,709786,72773,10428,8844,1584,11.64,70382,1738.8
2,13102,中央区,Chuo-ku,605926,122762,483164,483316,-152,517968,514546,3422,34804,31230,3574,10.18,59521,493.6
2,13103,港区,Minato-ku,886173,205131,681031,654371,26660,724402,691943,32459,43371,37572,5799,20.34,43568,432
2,13104,新宿区,Shinjuku-ku,750120,326309,423808,367006,56802,494842,428326,66516,71034,61320,9714,18.23,41148,229.9
2,13105,文京区,Bunkyo-ku,345423,206626,138796,94201,44595,202292,148811,53481,63496,54610,8886,11.31,30541,167.2
2,13106,台東区,Taito-ku,294756,175928,118828,116397,2431,160764,153088,7676,41936,36691,5245,10.08,29242,167.5
2,13107,墨田区,Sumida-ku,279272,247606,31667,32046,-379,101779,94871,6908,70112,62825,7287,13.75,20311,112.8
2,13108,江東区,Koto-ku,548976,460819,88158,95914,-7756,232873,225038,7835,144715,129124,15591,39.94,13745,119.1
2,13109,品川区,Shinagawa-ku,527019,365302,161717,153516,8201,268096,249220,18876,106379,95704,10675,22.72,23196,144.3
2,13110,目黒区,Meguro-ku,293382,268330,25051,17539,7512,102603,84653,17950,77552,67114,10438,14.7,19958,109.3
2,13111,大田区,Ota-ku,684451,693373,-8922,3876,-12798,170905,161467,9438,179827,157591,22236,59.46,11511,98.7
2,13112,世田谷区,Setagaya-ku,812810,877138,-64326,-91000,26674,179910,121423,58487,244236,212423,31813,58.08,13995,92.7
2,13113,渋谷区,Shibuya-ku,520698,204492,316194,281351,34843,366773,325616,41157,50579,44265,6314,15.11,34461,254.6
2,13114,中野区,Nakano-ku,289176,314750,-25575,-26300,725,72462,60058,12404,98037,86358,11679,15.59,18549,91.9
2,13115,杉並区,Suginami-ku,480172,549569,-69394,-72739,3345,96814,71908,24906,166208,144647,21561,34.02,"14,114",87.4
2,13116,豊島区,Toshima-ku,422995,284678,138316,103746,34570,210563,166530,44033,72247,62784,9463,13.01,32513,148.6
