年次,Year,区分 Classification,項番 Item Numbers,地域階層,地域コード,地域,District,構造と長さ,Structure and Length,総数 Total／橋数 Number,総数 Total／橋長 Length,総数 Total／橋面積 Area,一般国道 （指定区間外） General national highways (outside designated sections)／橋数 Number,一般国道 （指定区間外） General national highways (outside designated sections)／橋長 Length,一般国道 （指定区間外） General national highways (outside designated sections)／橋面積 Area,主要地方道 Main regional roads／橋数 Number,主要地方道 Main regional roads／橋長 Length,主要地方道 Main regional roads／橋面積 Area,一般都道 General metropolitan roads／橋数 Number,一般都道 General metropolitan roads／橋長 Length,一般都道 General metropolitan roads／橋面積 Area,,
平成23,2011,,,0,13000,東京都,Tokyo to,総数,Total,1224,73568,1135242,46,4244,47506,544,42315,668942,634,27009,418794,,
平成24,2012,,,0,13000,東京都,Tokyo to,総数,Total,1232,75244,1157418,47,4285,48189,555,43675,688385,630,27284,420844,,
平成25,2013,,,0,13000,東京都,Tokyo to,総数,Total,1200,74586,1147038,47,4285,48189,551,43717,687734,602,26584,411115,,
平成26,2014,,,0,13000,東京都,Tokyo to,総数,Total,1206,76133,1169077,48,4384,49506,555,44833,703301,603,26916,416270,,
平成27,2015,,,0,13000,東京都,Tokyo to,総数,Total,1230,77395,1188728,48,4384,49506,561,45380,714426,621,27631,424796,,
平成27,2015,構造・橋長別By structure and length,1,0,13000,東京都,Tokyo to,総数／15ｍ未満,Total／15ｍless than,541,3925,57541,13,99,2034,208,1681,36727,320,2145,18780,,
平成27,2015,構造・橋長別By structure and length,2,0,13000,東京都,Tokyo to,総数／15～30未満,Total／15～30less than,226,5028,75281,6,94,1437,111,2352,31566,109,2582,42278,,
平成27,2015,構造・橋長別By structure and length,3,0,13000,東京都,Tokyo to,総数／30～100未満,Total／30～100less than,255,13784,224267,21,1446,16135,108,5832,116909,126,6506,91223,,
平成27,2015,構造・橋長別By structure and length,4,0,13000,東京都,Tokyo to,総数／100～以上,Total／100～and over,208,54658,831639,8,2745,29900,134,35515,529224,66,16398,272515,,
平成27,2015,構造・橋長別By structure and length,,0,13000,東京都,Tokyo to,鋼橋／総数,Steelbridges／Total,501,49723,735992,36,4128,44698,265,31684,428530,200,13911,262764,,
平成27,2015,構造・橋長別By structure and length,1,0,13000,東京都,Tokyo to,鋼橋／15ｍ未満,Steelbridges／15ｍless than,69,690,8844,6,60,209,29,317,2598,34,313,6037,,
平成27,2015,構造・橋長別By structure and length,2,0,13000,東京都,Tokyo to,鋼橋／15～30未満,Steelbridges／15～30less than,112,2426,16769,3,42,614,72,1642,5590,37,742,10565,,
