年次,Year,港,Harbor,総数 Total／隻数 Number,総数 Total／総トン数 GT,内航商船 Coasters／隻数 Number,内航商船 Coasters／総トン数 GT,漁船，避難船，その他 Fishing boats， ships taking shelter， etc.／隻数 Number,漁船，避難船，その他 Fishing boats， ships taking shelter， etc.／総トン数 GT
平成22,2010,総数,Total,27722,15298643,12182,15038891,15540,259752
平成23,2011,総数,Total,28029,15164990,11909,14834246,16120,330744
平成24,2012,総数,Total,27715,15789640,11719,15407520,15996,382120
平成25,2013,総数,Total,27775,17039108,10271,16616498,17504,422610
平成26,2014,総数,Total,26636,19912525,10734,19452794,15902,459731
平成26,2014,元町港,Motomachi Harbor,1572,964498,1562,953654,10,10844
平成26,2014,岡田港,Okada Harbor,2062,2775537,2027,2739187,35,36350
平成26,2014,波浮港,Habu Harbor,4013,218334,365,161619,3648,56715
平成26,2014,利島港,Toshima Harbor,1306,2249166,1306,2249166,-,-
平成26,2014,新島港,Niijima Harbor,1572,2537867,1564,2533987,8,3880
平成26,2014,式根島港,Shikinejima Harbor,4,28,-,-,4,28
平成26,2014,神津島港,Kozushima Harbor,4158,981704,721,869502,3437,112202
平成26,2014,三池港,Miike Harbor,446,1634352,446,1634352,-,-
平成26,2014,御蔵島港,Mikurajima Harbor,1128,5052700,1128,5052700,-,-
平成26,2014,神湊港,Kaminato Harbor,643,1818007,637,1804711,6,13296
平成26,2014,八重根港,Yaene Harbor,21,28079,21,28079,-,-
平成26,2014,青ヶ島港,Aogashima Harbor,190,88650,190,88650,-,-
平成26,2014,二見港,Futami Harbor,6644,1395150,455,1186266,6189,208884
平成26,2014,沖港,Oki Harbor,2877,168453,312,150921,2565,17532
,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 ) 4　運輸 4　TRANSPORT ,,,,,,,,,
4-21  入港船舶隻数及び総トン数 （平成22～26年）（島しょ港湾） 4-21 NUMBER AND GROSS TONNAGE OF ARRIVING VESSELS ( 2010-2014 )( Harbors of Islands ),,,,,,,,,
資料：都港湾局港湾経営部振興課「東京港港勢」 Source: Bureau of Port and Harbor， TMG,,,,,,,,,
