地域階層,地域コード,地域,District,項番 Item number,警察署,Police station,総数 Total,凶悪犯 Felonious offenses／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／傷人 Bodily injury,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／強姦 Rape),凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／普通 Others,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／殺人 Homicide,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／傷人 Bodily injury,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／強姦 Rape),凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／普通 Others,凶悪犯 Felonious offenses／放火 Arson,凶悪犯 Felonious offenses／強姦 Rape),粗暴犯 Violent offenses／凶器準備集合 Unlawful assembly with dangerous weapons,粗暴犯 Violent offenses／暴行 Violence,粗暴犯 Violent offenses／傷害 Bodily injury,粗暴犯 Violent offenses／傷害致死 Bodily injury resulting in death,粗暴犯 Violent offenses／脅迫 Intimidation,粗暴犯 Violent offenses／恐喝 Extortion,窃盗犯 Larcenous offenses／侵入窃盗 Breaking & entering／theft,窃盗犯 Larcenous offenses／非侵入窃盗 Theft without breaking and entering,知能犯 Intellectual offenses／詐欺 Fraud,知能犯 Intellectual offenses／横領 Embezzlement,知能犯 Intellectual offenses／偽造 Counterfeiting,知能犯 Intellectual offenses／汚職 Corruption,知能犯 Intellectual offenses／背任 Breach of trust,風俗犯 Moral offenses／賭博 Gambling,風俗犯 Moral offenses／わいせつ Indecency,その他 Others／占有離脱物横領 Embezzlement of lost properties,その他 Others／公務執行妨害 Obstructing the execution of official duties,その他 Others／住居侵入 Trespassing,その他 Others／盗品等 Stolen properties， etc.,その他 Others／器物損壊等 Damage or destruction of structure， etc.,その他 Others／その他 Others
0,13000,総数,Tokyo-to,,,,160120,127,2,19,2,124,1,134,3,206,96,193,1,4572,3295,14,570,392,6925,110325,7357,159,488,-,6,21,1373,5551,582,1156,117,15839,470
1,13100,区部,All ku,,,,119852,87,1,16,2,98,-,112,3,159,65,154,1,3670,2658,10,418,301,5107,82639,5576,137,418,-,6,17,1014,4316,461,855,85,11089,377
2,13101,千代田区,Chiyoda-ku,1,麹町署,Kojimachi P. Sta．,484,-,-,-,-,-,-,-,-,-,1,-,-,31,16,-,5,3,16,263,53,1,1,-,-,-,5,16,8,9,-,50,6
2,13101,千代田区,Chiyoda-ku,2,丸の内署,Marunouchi P. Sta. ,1123,-,-,-,-,-,-,1,-,1,-,-,-,74,19,-,3,1,4,915,28,-,5,-,-,-,2,22,3,2,-,38,5
2,13101,千代田区,Chiyoda-ku,3,神田署,Kanda P. Sta.,609,-,-,-,-,-,-,-,-,-,-,1,-,41,15,-,2,3,34,367,55,3,6,-,-,-,3,26,3,3,-,45,2
2,13101,千代田区,Chiyoda-ku,4,万世橋署,Manseibashi P. Sta.,1405,-,-,-,-,2,-,1,-,1,2,-,-,71,34,-,4,14,47,971,73,3,7,-,-,2,15,55,6,8,1,75,13
2,13102,中央区,Chuo-ku,5,中央署,Chuo P. Sta.,719,-,-,-,-,1,-,-,-,2,-,1,-,41,19,-,5,-,30,411,56,2,4,-,-,-,6,75,-,5,-,58,3
2,13102,中央区,Chuo-ku,6,久松署,Hisamatsu P. Sta.　,394,-,-,-,-,-,-,-,-,-,-,1,-,17,10,-,2,3,16,239,29,-,-,-,-,-,4,24,3,2,-,41,3
2,13102,中央区,Chuo-ku,7,築地署,Tsukiji P. Sta.,1199,-,-,-,-,1,-,1,-,-,-,2,-,29,36,-,5,2,48,848,90,2,33,-,-,-,6,29,4,3,-,58,2
2,13102,中央区,Chuo-ku,8,月島署,Tsukishima P. Sta. ,344,-,-,-,-,-,-,1,-,-,-,-,-,21,15,-,3,2,3,194,26,4,2,-,1,-,2,18,7,3,-,41,1
