年次,Year,港または空港,Seaport or airport ,総数 Total,入国者 Entry／計 Total,入国者 Entry／日本人 Japanese,入国者 Entry／外国人 Foreigner,入国者 Entry／協定該当者 Under the status of forces agreement 1),出国者 Departure／計 Total,出国者 Departure／日本人 Japanese,出国者 Departure／外国人 Foreigner,出国者 Departure／協定該当者 Under the status of forces agreement 1)
平成24,2012,総数,Total,31816332,15883357,11109339,4660688,113330,15932975,11157729,4664876,110370
平成25,2013,総数,Total,32757495,16353947,10690948,5556730,106269,16403548,10719095,5579939,104514
平成26,2014,総数,Total,34768457,17366606,10570093,6683874,112639,17401851,10576454,6712760,112637
平成26,2014,東京,Tokyo,9848,3605,3231,374,-,6243,4745,1493,5
平成26,2014,羽田（空港）,Haneda(Airport),10511742,5214434,3453605,1751967,8862,5297308,3502415,1784850,10043
平成26,2014,成田（空港）,Narita(Airport),24246867,12148567,7113257,4931533,103777,12098300,7069294,4926417,102589
,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,
4-25  港別出入国者数 （平成24～26年） 4-25 NUMBER OF PERSONS ENTERING OR DEPARTING JAPAN BY SEAPORT OR AIRPORT ( 2012-2014 ),,,,,,,,,,,,
注 １) 日米間の地位協定及び日本国における国際連合の軍隊の地位に関する協定による軍人，軍属及びその家族で，軍艦又は軍用機によらないで，本邦へ入国又は本邦から出国した者をいう。,,,,,,,,,,,,
Note： 1) Members of foreign military forces， civilian component， and their families falling under the US-Japan Status of Forces Agreements and UN Status of Forces Agreement， who entered or departed Japan by means other than military ships or aircraft.,,,,,,,,,,,,
資料：法務省 「出入国管理統計年報」 Source: Ministry of Justice,,,,,,,,,,,,
