年次,Year,産業 (大分類) Industry (Division),産業 (大分類),Industry (Division),総数 Total 1),300万円未満 Under 3 mil. yen,300万円～500万円未満 3mil. yen - under 5mil. yen,500万円～1000万円未満 5mil. yen - under 10mil. yen,1000万円～3000万円未満 10mil. yen - under 30mil. yen,3000万円～5000万円未満30mil. yen - under 50mil. yen,5000万円～1億円未満 50mil. yen - under 100mil. yen,1億円～3億円未満 100mil. yen - under 300mil. yen,3億円～10億円未満300mil. yen - under 1 bil.yen,10億円～50億円未満 1 bil. yen - under 5 bil.yen,50億円以上 5 bil. yen or more
平成24,2012,,東京都,Tokyo-to,259771,8906,82194,22233,101403,11698,10030,4911,2861,1567,1181
平成26,2014,,東京都,Tokyo-to,272754,14293,81679,24692,99556,12110,10887,5508,3133,1699,1265
平成26,2014,A，B,農業，林業・漁業,Agriculture， forestry and fisheries,424,30,159,57,112,12,16,9,4,2,-
平成26,2014,C,鉱業，採石業，砂利採取業,Mining and quarrying of stone and gravel,92,1,4,1,22,2,4,8,6,18,24
平成26,2014,D,建設業,Construction,30557,1009,10450,3209,11866,1444,924,317,144,80,60
平成26,2014,E,製造業,Manufacturing,35686,855,10960,3108,14182,1764,1551,758,487,392,395
平成26,2014,F,電気・ガス・熱供給・水道業,Electricity， gas， heat supply and water,129,6,2,3,19,7,10,27,27,8,10
平成26,2014,G,情報通信業,Information and communications,17822,1314,3321,1226,7455,1129,1087,732,465,191,86
平成26,2014,H,運輸業，郵便業,Transport and postal activities,5698,119,954,575,2450,396,426,214,119,74,43
平成26,2014,I,卸売業，小売業,Wholesale and retail trade,68187,3098,19633,6062,26459,3209,2914,1327,848,351,171
平成26,2014,J,金融業，保険業,Finance and insurance,4262,290,1092,266,1146,162,249,251,262,161,195
平成26,2014,K,不動産業，物品賃貸業,Real estate and goods rental and leasing,33288,1536,10525,2927,13236,1445,1318,608,228,152,63
平成26,2014,L,学術研究，専門・技術サービス業,Scientific research， professional and technical services,20946,1831,6043,1614,8101,751,709,396,220,128,153
平成26,2014,M,宿泊業，飲食サービス業,Accommodations， eating and drinking services,20476,1532,7631,2448,3947,427,323,176,61,42,17
