年度,Fiscal year,系統,Line,駅,Station,マーク Mark,総数 Total／発 Departure,総数 Total／着 Arrival,車扱貨物 Carload freight／発 Departure,車扱貨物 Carload freight／着 Arrival,コンテナ貨物 Container freight／発 Departure,コンテナ貨物 Container freight／着 Arrival
平成22,2010,総数,Total,,,,1969215,2948991,60518,475896,1908697,2473095
平成23,2011,総数,Total,,,,1899436,2765152,59525,447492,1839911,2317660
平成24,2012,総数,Total,,,,1968053,3072475,69839,580634,1898214,2491841
平成25,2013,総数,Total,,,,2162100,3202455,70596,572661,2091504,2629794
平成26,2014,総数,Total,,,,2116735,3121561,82638,677877,2034097,2443684
平成26,2014,うち区部,Ku area only,,,,2014545,2392557,11854,2148,2002691,2390409
平成26,2014,東海道本線,Tokaido Line,,,※,1295321,1429766,75,1748,1295246,1428018
平成26,2014,東海道本線,Tokaido Line,品川,Shinagawa,,-,-,-,-,-,-
平成26,2014,東海道本線,Tokaido Line,東京貨物ターミナル,Tokyo freight terminal,,1295321,1429766,75,1748,1295246,1428018
平成26,2014,中央線,Chuo Line,,,,88990,661408,57584,608133,31406,53275
平成26,2014,中央線,Chuo Line,中野,Nakano,※,-,-,-,-,-,-
平成26,2014,中央線,Chuo Line,八王子,Hachioji,,88990,661408,57584,608133,31406,53275
平成26,2014,青梅線,Ome Line,,,,13200,67596,13200,67596,-,-
平成26,2014,青梅線,Ome Line,拝島,Haijima,,13200,67596,13200,67596,-,-
平成26,2014,東北本線,Tohoku Line,,,※,-,400,-,400,-,-
平成26,2014,東北本線,Tohoku Line,田端操,Tabataso,,-,400,-,400,-,-
平成26,2014,東北本線,Tohoku Line,北王子,Kitaoji,,-,-,-,-,-,-
平成26,2014,常磐線,Joban Line,,,※,707445,962391,-,-,707445,962391
平成26,2014,常磐線,Joban Line,金町,Kanamachi,,-,-,-,-,-,-
平成26,2014,常磐線,Joban Line,綾瀬,Ayase,,-,-,-,-,-,-
平成26,2014,常磐線,Joban Line,隅田川,Sumidagawa,,707445,962391,-,-,707445,962391
平成26,2014,総武線,Sobu Line,,,※,11779,-,11779,-,-,-
平成26,2014,総武線,Sobu Line,新小岩操,Shinkoiwaso,,10106,-,10106,-,-,-
平成26,2014,総武線,Sobu Line,越中島,Etchujima,,1673,-,1673,-,-,-
,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,
4-16  J R 貨物の駅別貨物発着量 (平成22～26年度) 4-16  VOLUME OF FREIGHT TRANSPORTED BY JAPAN FREIGHT RAILWAY COMPANY BY STATION ( Fiscal Years 2010-2014 ),,,,,,,,,,,,
注) ※印は区部にある駅 （線） を示す。,,,,,,,,,,,,
Note: Lines and stations marked with  a ※ refer to those located in the ku area.,,,,,,,,,,,,
資料：日本貨物鉄道株式会社関東支社 Source: Japan Freight Railway Company,,,,,,,,,,,,
（単位　トン） (In metric tons),,,,,,,,,,,,
