年度,Fiscal year,人員 Passengers／総数 Total（千人 in thousands),人員 Passengers／営業用 For business／バス Buses（千人 in thousands),人員 Passengers／営業用 For business／乗用 Cars（千人 in thousands),人員 Passengers／自家用 For private use 3)／乗用 Cars（千人 in thousands),人員 Passengers／自家用 For private use 3)／その他 Others（千人 in thousands),人キロ Passenger-kilometers ／総数 Total（千人 in thousands),人キロ Passenger-kilometers ／営業用 For business／バス Buses（千人 in thousands),人キロ Passenger-kilometers ／営業用 For business／乗用 Cars（千人 in thousands),人キロ Passenger-kilometers ／自家用 For private use 3)／乗用 Cars（千人 in thousands),人キロ Passenger-kilometers ／自家用 For private use 3)／その他 Others（千人 in thousands)
平成21,2009,3466826,784491,455598,1722424,504313,46783263,6199802,2277617,31579837,6726007
平成22,2010,2324762,784365,439372,829950,271075,27344019,6621299,2032325,15279968,3410427
平成23,2011,1186984,784955,402029,…,…,8485659,6733028,1752631,…,…
平成24,2012,1152762,796414,356348,…,…,8979004,7380847,1598157,…,…
平成25,2013,1165011,815691,349320,…,…,9304900,7708862,1596038,…,…
,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,
4-18  旅客自動車の輸送状況 （平成21～25年度） 4-18 TRANSPORTATION BY PASSENGER CARS ( Fiscal Years 2009-2013 ),,,,,,,,,,,
注 1) 「バス」 とは乗車定員11人以上， 「乗用」 とは乗用定員10人以下をいい， 自家用乗合を除く。,,,,,,,,,,,
    2) 平成22年10月より、調査方法及び集計方法を変更したため、時系列上の連続性が担保されない。,,,,,,,,,,,
    3) 平成22年10月より自家用旅客自動車については、調査から除外していることから、自家用については平成22年9月分までの数値である。,,,,,,,,,,,
"Note 1) ""Bus"" refers to vehicles with a capacity of 11 or more persons and ""car"" refers to vehicles with a capacity up to 10， ridesharing of private-use passenger cars excluded.",,,,,,,,,,,
        2) Continuity of figures is not secured due to changes in survey and tabulation methods from October 2010. ,,,,,,,,,,,
        3)  Figures for private-use passenger cars available up to September 2010 only， due to their exclusion from the survey since October 2010.  ,,,,,,,,,,,
資料：国土交通省 「自動車輸送統計月報」,,,,,,,,,,,
Source : Ministry of Land， Infrastructure， Transport and Tourism ,,,,,,,,,,,
